"variable","definition"
"measure","Outcome displayed in the dashboard."
"diagnosis_code","Machine-readable lymphoma series code."
"diagnosis","Reader-facing lymphoma series name."
"series_group","Headline total/aggregate series or NHL subtype decomposition."
"sex","Sex reported by the source result."
"duration_years","Prevalence duration in years; blank for incidence measures."
"year","Calendar year."
"period","Historical observed incidence, estimated prevalence, or projected result."
"estimate","Point estimate. Modelled values are posterior medians."
"lower","Lower limit of the 95% credible interval; blank for observed incidence."
"upper","Upper limit of the 95% credible interval; blank for observed incidence."
"unit","Unit attached to the selected measure."
"source_output","Canonical analysis output from which the release row was derived."
