"measure","diagnosis_code","diagnosis","series_group","sex","duration_years","year","period","estimate","lower","upper","unit","source_output"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1982,"Historical",1751,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1983,"Historical",1772,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1984,"Historical",1900,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1985,"Historical",1956,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1986,"Historical",2050,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1987,"Historical",2298,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1988,"Historical",2303,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1989,"Historical",2443,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1990,"Historical",2604,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1991,"Historical",2719,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1992,"Historical",2947,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1993,"Historical",2979,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1994,"Historical",3041,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1995,"Historical",3143,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1996,"Historical",3351,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1997,"Historical",3420,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1998,"Historical",3412,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,1999,"Historical",3601,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2000,"Historical",3794,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2001,"Historical",3792,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2002,"Historical",4051,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2003,"Historical",4055,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2004,"Historical",4189,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2005,"Historical",4384,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2006,"Historical",4346,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2007,"Historical",4495,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2008,"Historical",4568,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2009,"Historical",4809,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2010,"Historical",4959,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2011,"Historical",5158,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2012,"Historical",5450,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2013,"Historical",5482,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2014,"Historical",5793,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2015,"Historical",5759,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2016,"Historical",6022,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2017,"Historical",6326,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2018,"Historical",6331,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2019,"Historical",6533,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2020,"Historical",6982,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2021,"Historical",6735,,,"people diagnosed","output/incidence_historical_asr.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2022,"Projected",7057.32611388399,6950.49775460553,7170.96579054918,"people diagnosed","output/incidence_projections.csv"
"Incidence (cases)","total","Total lymphoma","Headline","Persons",,2023,"Projected",7292.52087372716,7187.71939207237,7406.32116012879,"people diagnosed","output/incidence_projections.csv"
