year,sex,age_group,cancer_group,count
1982,females,15–24,Hodgkin lymphoma,38
1982,females,15–24,Non-Hodgkin lymphoma,10
1982,females,25–34,Hodgkin lymphoma,32
1982,females,25–34,Non-Hodgkin lymphoma,22
1982,females,35–44,Hodgkin lymphoma,9
1982,females,35–44,Non-Hodgkin lymphoma,46
1982,females,45–54,Hodgkin lymphoma,6
1982,females,45–54,Non-Hodgkin lymphoma,91
1982,females,55–64,Hodgkin lymphoma,13
1982,females,55–64,Non-Hodgkin lymphoma,139
1982,females,5–14,Hodgkin lymphoma,5
1982,females,5–14,Non-Hodgkin lymphoma,17
1982,females,65–74,Hodgkin lymphoma,12
1982,females,65–74,Non-Hodgkin lymphoma,200
1982,females,75–84,Hodgkin lymphoma,10
1982,females,75–84,Non-Hodgkin lymphoma,126
1982,females,85+,Hodgkin lymphoma,1
1982,females,85+,Non-Hodgkin lymphoma,36
1982,males,15–24,Hodgkin lymphoma,44
1982,males,15–24,Non-Hodgkin lymphoma,22
1982,males,25–34,Hodgkin lymphoma,39
1982,males,25–34,Non-Hodgkin lymphoma,42
1982,males,35–44,Hodgkin lymphoma,26
1982,males,35–44,Non-Hodgkin lymphoma,52
1982,males,45–54,Hodgkin lymphoma,30
1982,males,45–54,Non-Hodgkin lymphoma,97
1982,males,55–64,Hodgkin lymphoma,21
1982,males,55–64,Non-Hodgkin lymphoma,170
1982,males,5–14,Hodgkin lymphoma,8
1982,males,5–14,Non-Hodgkin lymphoma,19
1982,males,65–74,Hodgkin lymphoma,27
1982,males,65–74,Non-Hodgkin lymphoma,215
1982,males,75–84,Hodgkin lymphoma,7
1982,males,75–84,Non-Hodgkin lymphoma,101
1982,males,85+,Hodgkin lymphoma,0
1982,males,85+,Non-Hodgkin lymphoma,18
1983,females,15–24,Hodgkin lymphoma,33
1983,females,15–24,Non-Hodgkin lymphoma,12
1983,females,25–34,Hodgkin lymphoma,23
1983,females,25–34,Non-Hodgkin lymphoma,19
1983,females,35–44,Hodgkin lymphoma,22
1983,females,35–44,Non-Hodgkin lymphoma,42
1983,females,45–54,Hodgkin lymphoma,3
1983,females,45–54,Non-Hodgkin lymphoma,77
1983,females,55–64,Hodgkin lymphoma,8
1983,females,55–64,Non-Hodgkin lymphoma,166
1983,females,5–14,Hodgkin lymphoma,3
1983,females,5–14,Non-Hodgkin lymphoma,8
1983,females,65–74,Hodgkin lymphoma,21
1983,females,65–74,Non-Hodgkin lymphoma,180
1983,females,75–84,Hodgkin lymphoma,13
1983,females,75–84,Non-Hodgkin lymphoma,150
1983,females,85+,Hodgkin lymphoma,0
1983,females,85+,Non-Hodgkin lymphoma,37
1983,males,15–24,Hodgkin lymphoma,48
1983,males,15–24,Non-Hodgkin lymphoma,15
1983,males,25–34,Hodgkin lymphoma,37
1983,males,25–34,Non-Hodgkin lymphoma,35
1983,males,35–44,Hodgkin lymphoma,26
1983,males,35–44,Non-Hodgkin lymphoma,79
1983,males,45–54,Hodgkin lymphoma,30
1983,males,45–54,Non-Hodgkin lymphoma,96
1983,males,55–64,Hodgkin lymphoma,26
1983,males,55–64,Non-Hodgkin lymphoma,189
1983,males,5–14,Hodgkin lymphoma,13
1983,males,5–14,Non-Hodgkin lymphoma,29
1983,males,65–74,Hodgkin lymphoma,19
1983,males,65–74,Non-Hodgkin lymphoma,193
1983,males,75–84,Hodgkin lymphoma,5
1983,males,75–84,Non-Hodgkin lymphoma,98
1983,males,85+,Hodgkin lymphoma,0
1983,males,85+,Non-Hodgkin lymphoma,17
1984,females,15–24,Hodgkin lymphoma,23
1984,females,15–24,Non-Hodgkin lymphoma,11
1984,females,25–34,Hodgkin lymphoma,30
1984,females,25–34,Non-Hodgkin lymphoma,27
1984,females,35–44,Hodgkin lymphoma,15
1984,females,35–44,Non-Hodgkin lymphoma,50
1984,females,45–54,Hodgkin lymphoma,15
1984,females,45–54,Non-Hodgkin lymphoma,87
1984,females,55–64,Hodgkin lymphoma,12
1984,females,55–64,Non-Hodgkin lymphoma,168
1984,females,5–14,Hodgkin lymphoma,6
1984,females,5–14,Non-Hodgkin lymphoma,6
1984,females,65–74,Hodgkin lymphoma,19
1984,females,65–74,Non-Hodgkin lymphoma,208
1984,females,75–84,Hodgkin lymphoma,15
1984,females,75–84,Non-Hodgkin lymphoma,159
1984,females,85+,Hodgkin lymphoma,4
1984,females,85+,Non-Hodgkin lymphoma,25
1984,males,15–24,Hodgkin lymphoma,37
1984,males,15–24,Non-Hodgkin lymphoma,26
1984,males,25–34,Hodgkin lymphoma,45
1984,males,25–34,Non-Hodgkin lymphoma,32
1984,males,35–44,Hodgkin lymphoma,22
1984,males,35–44,Non-Hodgkin lymphoma,72
1984,males,45–54,Hodgkin lymphoma,20
1984,males,45–54,Non-Hodgkin lymphoma,122
1984,males,55–64,Hodgkin lymphoma,18
1984,males,55–64,Non-Hodgkin lymphoma,195
1984,males,5–14,Hodgkin lymphoma,5
1984,males,5–14,Non-Hodgkin lymphoma,17
1984,males,65–74,Hodgkin lymphoma,25
1984,males,65–74,Non-Hodgkin lymphoma,209
1984,males,75–84,Hodgkin lymphoma,12
1984,males,75–84,Non-Hodgkin lymphoma,129
1984,males,85+,Hodgkin lymphoma,1
1984,males,85+,Non-Hodgkin lymphoma,33
1985,females,15–24,Hodgkin lymphoma,32
1985,females,15–24,Non-Hodgkin lymphoma,9
1985,females,25–34,Hodgkin lymphoma,16
1985,females,25–34,Non-Hodgkin lymphoma,24
1985,females,35–44,Hodgkin lymphoma,8
1985,females,35–44,Non-Hodgkin lymphoma,54
1985,females,45–54,Hodgkin lymphoma,12
1985,females,45–54,Non-Hodgkin lymphoma,93
1985,females,55–64,Hodgkin lymphoma,14
1985,females,55–64,Non-Hodgkin lymphoma,173
1985,females,5–14,Hodgkin lymphoma,7
1985,females,5–14,Non-Hodgkin lymphoma,4
1985,females,65–74,Hodgkin lymphoma,10
1985,females,65–74,Non-Hodgkin lymphoma,220
1985,females,75–84,Hodgkin lymphoma,9
1985,females,75–84,Non-Hodgkin lymphoma,153
1985,females,85+,Hodgkin lymphoma,2
1985,females,85+,Non-Hodgkin lymphoma,31
1985,males,15–24,Hodgkin lymphoma,36
1985,males,15–24,Non-Hodgkin lymphoma,26
1985,males,25–34,Hodgkin lymphoma,45
1985,males,25–34,Non-Hodgkin lymphoma,42
1985,males,35–44,Hodgkin lymphoma,33
1985,males,35–44,Non-Hodgkin lymphoma,82
1985,males,45–54,Hodgkin lymphoma,12
1985,males,45–54,Non-Hodgkin lymphoma,107
1985,males,55–64,Hodgkin lymphoma,19
1985,males,55–64,Non-Hodgkin lymphoma,199
1985,males,5–14,Hodgkin lymphoma,8
1985,males,5–14,Non-Hodgkin lymphoma,12
1985,males,65–74,Hodgkin lymphoma,17
1985,males,65–74,Non-Hodgkin lymphoma,270
1985,males,75–84,Hodgkin lymphoma,7
1985,males,75–84,Non-Hodgkin lymphoma,148
1985,males,85+,Hodgkin lymphoma,0
1985,males,85+,Non-Hodgkin lymphoma,22
1986,females,15–24,Hodgkin lymphoma,34
1986,females,15–24,Non-Hodgkin lymphoma,13
1986,females,25–34,Hodgkin lymphoma,29
1986,females,25–34,Non-Hodgkin lymphoma,34
1986,females,35–44,Hodgkin lymphoma,12
1986,females,35–44,Non-Hodgkin lymphoma,67
1986,females,45–54,Hodgkin lymphoma,12
1986,females,45–54,Non-Hodgkin lymphoma,82
1986,females,55–64,Hodgkin lymphoma,16
1986,females,55–64,Non-Hodgkin lymphoma,164
1986,females,5–14,Hodgkin lymphoma,6
1986,females,5–14,Non-Hodgkin lymphoma,6
1986,females,65–74,Hodgkin lymphoma,14
1986,females,65–74,Non-Hodgkin lymphoma,206
1986,females,75–84,Hodgkin lymphoma,13
1986,females,75–84,Non-Hodgkin lymphoma,158
1986,females,85+,Hodgkin lymphoma,2
1986,females,85+,Non-Hodgkin lymphoma,55
1986,males,15–24,Hodgkin lymphoma,39
1986,males,15–24,Non-Hodgkin lymphoma,19
1986,males,25–34,Hodgkin lymphoma,36
1986,males,25–34,Non-Hodgkin lymphoma,31
1986,males,35–44,Hodgkin lymphoma,18
1986,males,35–44,Non-Hodgkin lymphoma,90
1986,males,45–54,Hodgkin lymphoma,17
1986,males,45–54,Non-Hodgkin lymphoma,118
1986,males,55–64,Hodgkin lymphoma,25
1986,males,55–64,Non-Hodgkin lymphoma,224
1986,males,5–14,Hodgkin lymphoma,14
1986,males,5–14,Non-Hodgkin lymphoma,17
1986,males,65–74,Hodgkin lymphoma,20
1986,males,65–74,Non-Hodgkin lymphoma,250
1986,males,75–84,Hodgkin lymphoma,13
1986,males,75–84,Non-Hodgkin lymphoma,161
1986,males,85+,Hodgkin lymphoma,3
1986,males,85+,Non-Hodgkin lymphoma,32
1987,females,15–24,Hodgkin lymphoma,28
1987,females,15–24,Non-Hodgkin lymphoma,10
1987,females,25–34,Hodgkin lymphoma,38
1987,females,25–34,Non-Hodgkin lymphoma,29
1987,females,35–44,Hodgkin lymphoma,21
1987,females,35–44,Non-Hodgkin lymphoma,65
1987,females,45–54,Hodgkin lymphoma,9
1987,females,45–54,Non-Hodgkin lymphoma,108
1987,females,55–64,Hodgkin lymphoma,13
1987,females,55–64,Non-Hodgkin lymphoma,172
1987,females,5–14,Hodgkin lymphoma,3
1987,females,5–14,Non-Hodgkin lymphoma,11
1987,females,65–74,Hodgkin lymphoma,15
1987,females,65–74,Non-Hodgkin lymphoma,263
1987,females,75–84,Hodgkin lymphoma,8
1987,females,75–84,Non-Hodgkin lymphoma,188
1987,females,85+,Hodgkin lymphoma,3
1987,females,85+,Non-Hodgkin lymphoma,57
1987,males,15–24,Hodgkin lymphoma,29
1987,males,15–24,Non-Hodgkin lymphoma,19
1987,males,25–34,Hodgkin lymphoma,42
1987,males,25–34,Non-Hodgkin lymphoma,56
1987,males,35–44,Hodgkin lymphoma,22
1987,males,35–44,Non-Hodgkin lymphoma,107
1987,males,45–54,Hodgkin lymphoma,18
1987,males,45–54,Non-Hodgkin lymphoma,129
1987,males,55–64,Hodgkin lymphoma,27
1987,males,55–64,Non-Hodgkin lymphoma,186
1987,males,5–14,Hodgkin lymphoma,10
1987,males,5–14,Non-Hodgkin lymphoma,26
1987,males,65–74,Hodgkin lymphoma,19
1987,males,65–74,Non-Hodgkin lymphoma,332
1987,males,75–84,Hodgkin lymphoma,12
1987,males,75–84,Non-Hodgkin lymphoma,181
1987,males,85+,Hodgkin lymphoma,3
1987,males,85+,Non-Hodgkin lymphoma,39
1988,females,15–24,Hodgkin lymphoma,37
1988,females,15–24,Non-Hodgkin lymphoma,14
1988,females,25–34,Hodgkin lymphoma,25
1988,females,25–34,Non-Hodgkin lymphoma,32
1988,females,35–44,Hodgkin lymphoma,20
1988,females,35–44,Non-Hodgkin lymphoma,65
1988,females,45–54,Hodgkin lymphoma,9
1988,females,45–54,Non-Hodgkin lymphoma,86
1988,females,55–64,Hodgkin lymphoma,11
1988,females,55–64,Non-Hodgkin lymphoma,187
1988,females,5–14,Hodgkin lymphoma,5
1988,females,5–14,Non-Hodgkin lymphoma,9
1988,females,65–74,Hodgkin lymphoma,17
1988,females,65–74,Non-Hodgkin lymphoma,277
1988,females,75–84,Hodgkin lymphoma,12
1988,females,75–84,Non-Hodgkin lymphoma,177
1988,females,85+,Hodgkin lymphoma,3
1988,females,85+,Non-Hodgkin lymphoma,41
1988,males,15–24,Hodgkin lymphoma,39
1988,males,15–24,Non-Hodgkin lymphoma,30
1988,males,25–34,Hodgkin lymphoma,46
1988,males,25–34,Non-Hodgkin lymphoma,70
1988,males,35–44,Hodgkin lymphoma,28
1988,males,35–44,Non-Hodgkin lymphoma,94
1988,males,45–54,Hodgkin lymphoma,20
1988,males,45–54,Non-Hodgkin lymphoma,123
1988,males,55–64,Hodgkin lymphoma,29
1988,males,55–64,Non-Hodgkin lymphoma,236
1988,males,5–14,Hodgkin lymphoma,12
1988,males,5–14,Non-Hodgkin lymphoma,29
1988,males,65–74,Hodgkin lymphoma,17
1988,males,65–74,Non-Hodgkin lymphoma,279
1988,males,75–84,Hodgkin lymphoma,19
1988,males,75–84,Non-Hodgkin lymphoma,172
1988,males,85+,Hodgkin lymphoma,0
1988,males,85+,Non-Hodgkin lymphoma,33
