year,sex,cancer_group,count,crude_rate,asr_2001,asr_2025
2026,males,Hodgkin lymphoma,495,3.6,3.3,3.6
2027,males,Hodgkin lymphoma,510,3.6,3.4,3.6
2028,males,Hodgkin lymphoma,519,3.6,3.4,3.7
2029,males,Hodgkin lymphoma,532,3.7,3.4,3.7
2030,males,Hodgkin lymphoma,547,3.8,3.5,3.7
2031,males,Hodgkin lymphoma,558,3.8,3.5,3.8
2032,males,Hodgkin lymphoma,571,3.8,3.5,3.8
2033,males,Hodgkin lymphoma,583,3.9,3.5,3.8
2034,males,Hodgkin lymphoma,597,3.9,3.6,3.9
2035,males,Hodgkin lymphoma,610,3.9,3.6,3.9
2026,females,Hodgkin lymphoma,363,2.6,2.5,2.6
2027,females,Hodgkin lymphoma,366,2.6,2.5,2.5
2028,females,Hodgkin lymphoma,375,2.6,2.5,2.6
2029,females,Hodgkin lymphoma,379,2.6,2.5,2.6
2030,females,Hodgkin lymphoma,385,2.6,2.5,2.6
2031,females,Hodgkin lymphoma,392,2.6,2.5,2.6
2032,females,Hodgkin lymphoma,396,2.6,2.5,2.6
2033,females,Hodgkin lymphoma,400,2.6,2.5,2.6
2034,females,Hodgkin lymphoma,407,2.6,2.5,2.6
2035,females,Hodgkin lymphoma,412,2.6,2.5,2.6
2026,males,Non-Hodgkin lymphoma,4060,29.2,23.9,30.4
2027,males,Non-Hodgkin lymphoma,4168,29.6,23.9,30.4
2028,males,Non-Hodgkin lymphoma,4272,30,23.9,30.4
2029,males,Non-Hodgkin lymphoma,4377,30.4,23.9,30.4
2030,males,Non-Hodgkin lymphoma,4463,30.6,23.8,30.3
2031,males,Non-Hodgkin lymphoma,4554,30.9,23.7,30.2
2032,males,Non-Hodgkin lymphoma,4645,31.1,23.6,30.2
2033,males,Non-Hodgkin lymphoma,4733,31.3,23.5,30.1
2034,males,Non-Hodgkin lymphoma,4820,31.6,23.5,30
2035,males,Non-Hodgkin lymphoma,4906,31.8,23.4,29.9
2026,females,Non-Hodgkin lymphoma,2984,21.1,15.9,20
2027,females,Non-Hodgkin lymphoma,3056,21.4,15.9,19.9
2028,females,Non-Hodgkin lymphoma,3133,21.6,15.9,19.9
2029,females,Non-Hodgkin lymphoma,3207,21.9,15.8,19.9
2030,females,Non-Hodgkin lymphoma,3272,22,15.8,19.8
2031,females,Non-Hodgkin lymphoma,3340,22.2,15.8,19.8
2032,females,Non-Hodgkin lymphoma,3404,22.3,15.7,19.7
2033,females,Non-Hodgkin lymphoma,3467,22.5,15.6,19.6
2034,females,Non-Hodgkin lymphoma,3531,22.6,15.6,19.6
2035,females,Non-Hodgkin lymphoma,3594,22.7,15.5,19.5
