year,sex,age_group,subtype,count,rate
2003,males,5–14,follicular,0,0
2003,males,15–24,follicular,5,0.4
2003,males,25–34,follicular,12,0.8
2003,males,35–44,follicular,39,2.6
2003,males,45–54,follicular,98,7.3
2003,males,55–64,follicular,119,11.8
2003,males,65–74,follicular,99,15.2
2003,males,75–84,follicular,64,16.8
2003,males,85+,follicular,12,13.8
2003,females,5–14,follicular,0,0
2003,females,15–24,follicular,4,0.3
2003,females,25–34,follicular,7,0.5
2003,females,35–44,follicular,39,2.6
2003,females,45–54,follicular,79,5.8
2003,females,55–64,follicular,89,9
2003,females,65–74,follicular,92,13.4
2003,females,75–84,follicular,76,14.8
2003,females,85+,follicular,17,8.8
2004,males,5–14,follicular,0,0
2004,males,15–24,follicular,2,0.1
2004,males,25–34,follicular,15,1.1
2004,males,35–44,follicular,44,3
2004,males,45–54,follicular,98,7.2
2004,males,55–64,follicular,117,11.2
2004,males,65–74,follicular,110,16.7
2004,males,75–84,follicular,58,14.7
2004,males,85+,follicular,9,10
2004,females,5–14,follicular,0,0
2004,females,15–24,follicular,3,0.2
2004,females,25–34,follicular,10,0.7
2004,females,35–44,follicular,34,2.3
2004,females,45–54,follicular,80,5.8
2004,females,55–64,follicular,108,10.4
2004,females,65–74,follicular,102,14.7
2004,females,75–84,follicular,70,13.4
2004,females,85+,follicular,21,10.7
2005,males,5–14,follicular,0,0
2005,males,15–24,follicular,6,0.4
2005,males,25–34,follicular,18,1.3
2005,males,35–44,follicular,48,3.2
2005,males,45–54,follicular,87,6.3
2005,males,55–64,follicular,145,13.4
2005,males,65–74,follicular,110,16.4
2005,males,75–84,follicular,67,16.5
2005,males,85+,follicular,9,9.3
2005,females,5–14,follicular,1,0.1
2005,females,15–24,follicular,2,0.1
2005,females,25–34,follicular,7,0.5
2005,females,35–44,follicular,31,2.1
2005,females,45–54,follicular,86,6.2
2005,females,55–64,follicular,119,11.1
2005,females,65–74,follicular,86,12.2
2005,females,75–84,follicular,86,16.2
2005,females,85+,follicular,17,8.3
2006,males,5–14,follicular,0,0
2006,males,15–24,follicular,5,0.3
2006,males,25–34,follicular,7,0.5
2006,males,35–44,follicular,51,3.4
2006,males,45–54,follicular,101,7.2
2006,males,55–64,follicular,162,14.5
2006,males,65–74,follicular,117,17.1
2006,males,75–84,follicular,63,15.2
2006,males,85+,follicular,17,16.5
2006,females,5–14,follicular,0,0
2006,females,15–24,follicular,1,0.1
2006,females,25–34,follicular,7,0.5
2006,females,35–44,follicular,44,2.9
2006,females,45–54,follicular,75,5.3
2006,females,55–64,follicular,110,9.8
2006,females,65–74,follicular,93,13
2006,females,75–84,follicular,70,13.1
2006,females,85+,follicular,25,11.6
2007,males,5–14,follicular,2,0.1
2007,males,15–24,follicular,2,0.1
2007,males,25–34,follicular,10,0.7
2007,males,35–44,follicular,34,2.2
2007,males,45–54,follicular,100,7
2007,males,55–64,follicular,135,11.7
2007,males,65–74,follicular,116,16.4
2007,males,75–84,follicular,80,19
2007,males,85+,follicular,7,6.3
2007,females,5–14,follicular,1,0.1
2007,females,15–24,follicular,1,0.1
2007,females,25–34,follicular,3,0.2
2007,females,35–44,follicular,36,2.3
2007,females,45–54,follicular,78,5.4
2007,females,55–64,follicular,144,12.5
2007,females,65–74,follicular,99,13.5
2007,females,75–84,follicular,81,15.1
2007,females,85+,follicular,25,11.1
2008,males,5–14,follicular,0,0
2008,males,15–24,follicular,2,0.1
2008,males,25–34,follicular,6,0.4
2008,males,35–44,follicular,45,2.9
2008,males,45–54,follicular,104,7.1
2008,males,55–64,follicular,146,12.3
2008,males,65–74,follicular,101,13.9
2008,males,75–84,follicular,61,14.3
2008,males,85+,follicular,12,10.2
2008,females,5–14,follicular,0,0
2008,females,15–24,follicular,4,0.3
2008,females,25–34,follicular,9,0.6
2008,females,35–44,follicular,39,2.5
2008,females,45–54,follicular,95,6.4
2008,females,55–64,follicular,122,10.2
2008,females,65–74,follicular,110,14.5
2008,females,75–84,follicular,81,15
2008,females,85+,follicular,16,6.8
2009,males,5–14,follicular,0,0
2009,males,15–24,follicular,2,0.1
2009,males,25–34,follicular,22,1.4
2009,males,35–44,follicular,43,2.8
2009,males,45–54,follicular,87,5.9
2009,males,55–64,follicular,154,12.6
2009,males,65–74,follicular,149,19.6
2009,males,75–84,follicular,83,19.1
