year,sex,age_group,subtype,count
1982,females,15–24,dlbcl,4
1982,females,15–24,follicular,1
1982,females,15–24,hodgkin,38
1982,females,15–24,mantle_cell,0
1982,females,25–34,dlbcl,10
1982,females,25–34,follicular,4
1982,females,25–34,hodgkin,32
1982,females,25–34,mantle_cell,0
1982,females,35–44,dlbcl,14
1982,females,35–44,follicular,18
1982,females,35–44,hodgkin,9
1982,females,35–44,mantle_cell,0
1982,females,45–54,dlbcl,29
1982,females,45–54,follicular,35
1982,females,45–54,hodgkin,6
1982,females,45–54,mantle_cell,2
1982,females,55–64,dlbcl,45
1982,females,55–64,follicular,48
1982,females,55–64,hodgkin,13
1982,females,55–64,mantle_cell,4
1982,females,5–14,dlbcl,2
1982,females,5–14,follicular,1
1982,females,5–14,hodgkin,5
1982,females,5–14,mantle_cell,0
1982,females,65–74,dlbcl,75
1982,females,65–74,follicular,50
1982,females,65–74,hodgkin,12
1982,females,65–74,mantle_cell,5
1982,females,75–84,dlbcl,54
1982,females,75–84,follicular,22
1982,females,75–84,hodgkin,10
1982,females,75–84,mantle_cell,3
1982,females,85+,dlbcl,14
1982,females,85+,follicular,4
1982,females,85+,hodgkin,1
1982,females,85+,mantle_cell,1
1982,males,15–24,dlbcl,8
1982,males,15–24,follicular,2
1982,males,15–24,hodgkin,44
1982,males,15–24,mantle_cell,0
1982,males,25–34,dlbcl,17
1982,males,25–34,follicular,9
1982,males,25–34,hodgkin,39
1982,males,25–34,mantle_cell,0
1982,males,35–44,dlbcl,18
1982,males,35–44,follicular,16
1982,males,35–44,hodgkin,26
1982,males,35–44,mantle_cell,1
1982,males,45–54,dlbcl,33
1982,males,45–54,follicular,34
1982,males,45–54,hodgkin,30
1982,males,45–54,mantle_cell,5
1982,males,55–64,dlbcl,60
1982,males,55–64,follicular,51
1982,males,55–64,hodgkin,21
1982,males,55–64,mantle_cell,10
1982,males,5–14,dlbcl,3
1982,males,5–14,follicular,0
1982,males,5–14,hodgkin,8
1982,males,5–14,mantle_cell,0
1982,males,65–74,dlbcl,78
1982,males,65–74,follicular,46
1982,males,65–74,hodgkin,27
1982,males,65–74,mantle_cell,16
1982,males,75–84,dlbcl,39
1982,males,75–84,follicular,14
1982,males,75–84,hodgkin,7
1982,males,75–84,mantle_cell,6
1982,males,85+,dlbcl,7
1982,males,85+,follicular,2
1982,males,85+,hodgkin,0
1982,males,85+,mantle_cell,1
1983,females,15–24,dlbcl,5
1983,females,15–24,follicular,1
1983,females,15–24,hodgkin,33
1983,females,15–24,mantle_cell,0
1983,females,25–34,dlbcl,8
1983,females,25–34,follicular,3
1983,females,25–34,hodgkin,23
1983,females,25–34,mantle_cell,0
1983,females,35–44,dlbcl,13
1983,females,35–44,follicular,17
1983,females,35–44,hodgkin,22
1983,females,35–44,mantle_cell,0
1983,females,45–54,dlbcl,24
1983,females,45–54,follicular,29
1983,females,45–54,hodgkin,3
1983,females,45–54,mantle_cell,2
1983,females,55–64,dlbcl,54
1983,females,55–64,follicular,58
1983,females,55–64,hodgkin,8
1983,females,55–64,mantle_cell,4
1983,females,5–14,dlbcl,1
1983,females,5–14,follicular,0
1983,females,5–14,hodgkin,3
1983,females,5–14,mantle_cell,0
1983,females,65–74,dlbcl,67
1983,females,65–74,follicular,45
1983,females,65–74,hodgkin,21
1983,females,65–74,mantle_cell,5
1983,females,75–84,dlbcl,64
1983,females,75–84,follicular,26
1983,females,75–84,hodgkin,13
1983,females,75–84,mantle_cell,4
1983,females,85+,dlbcl,14
1983,females,85+,follicular,4
1983,females,85+,hodgkin,0
1983,females,85+,mantle_cell,1
1983,males,15–24,dlbcl,5
1983,males,15–24,follicular,2
1983,males,15–24,hodgkin,48
1983,males,15–24,mantle_cell,0
1983,males,25–34,dlbcl,14
1983,males,25–34,follicular,7
1983,males,25–34,hodgkin,37
1983,males,25–34,mantle_cell,0
1983,males,35–44,dlbcl,27
1983,males,35–44,follicular,24
1983,males,35–44,hodgkin,26
1983,males,35–44,mantle_cell,2
1983,males,45–54,dlbcl,32
1983,males,45–54,follicular,34
1983,males,45–54,hodgkin,30
1983,males,45–54,mantle_cell,5
1983,males,55–64,dlbcl,67
1983,males,55–64,follicular,56
1983,males,55–64,hodgkin,26
1983,males,55–64,mantle_cell,11
1983,males,5–14,dlbcl,4
1983,males,5–14,follicular,0
1983,males,5–14,hodgkin,13
1983,males,5–14,mantle_cell,0
1983,males,65–74,dlbcl,70
1983,males,65–74,follicular,41
1983,males,65–74,hodgkin,19
1983,males,65–74,mantle_cell,14
1983,males,75–84,dlbcl,38
1983,males,75–84,follicular,14
1983,males,75–84,hodgkin,5
1983,males,75–84,mantle_cell,6
1983,males,85+,dlbcl,7
1983,males,85+,follicular,2
1983,males,85+,hodgkin,0
1983,males,85+,mantle_cell,1
1984,females,15–24,dlbcl,5
1984,females,15–24,follicular,1
1984,females,15–24,hodgkin,23
1984,females,15–24,mantle_cell,0
1984,females,25–34,dlbcl,12
1984,females,25–34,follicular,5
1984,females,25–34,hodgkin,30
1984,females,25–34,mantle_cell,0
1984,females,35–44,dlbcl,15
1984,females,35–44,follicular,20
1984,females,35–44,hodgkin,15
1984,females,35–44,mantle_cell,0
1984,females,45–54,dlbcl,28
1984,females,45–54,follicular,33
1984,females,45–54,hodgkin,15
1984,females,45–54,mantle_cell,2
1984,females,55–64,dlbcl,54
1984,females,55–64,follicular,58
1984,females,55–64,hodgkin,12
1984,females,55–64,mantle_cell,4
1984,females,5–14,dlbcl,1
1984,females,5–14,follicular,0
1984,females,5–14,hodgkin,6
1984,females,5–14,mantle_cell,0
1984,females,65–74,dlbcl,78
1984,females,65–74,follicular,52
1984,females,65–74,hodgkin,19
1984,females,65–74,mantle_cell,6
1984,females,75–84,dlbcl,68
1984,females,75–84,follicular,28
1984,females,75–84,hodgkin,15
1984,females,75–84,mantle_cell,4
1984,females,85+,dlbcl,9
1984,females,85+,follicular,3
1984,females,85+,hodgkin,4
1984,females,85+,mantle_cell,1
1984,males,15–24,dlbcl,9
1984,males,15–24,follicular,3
1984,males,15–24,hodgkin,37
1984,males,15–24,mantle_cell,0
1984,males,25–34,dlbcl,13
1984,males,25–34,follicular,7
1984,males,25–34,hodgkin,45
1984,males,25–34,mantle_cell,0
1984,males,35–44,dlbcl,25
1984,males,35–44,follicular,21
1984,males,35–44,hodgkin,22
1984,males,35–44,mantle_cell,2
1984,males,45–54,dlbcl,41
1984,males,45–54,follicular,43
1984,males,45–54,hodgkin,20
1984,males,45–54,mantle_cell,6
1984,males,55–64,dlbcl,69
1984,males,55–64,follicular,58
1984,males,55–64,hodgkin,18
1984,males,55–64,mantle_cell,11
1984,males,5–14,dlbcl,2
1984,males,5–14,follicular,0
1984,males,5–14,hodgkin,5
1984,males,5–14,mantle_cell,0
1984,males,65–74,dlbcl,75
1984,males,65–74,follicular,45
1984,males,65–74,hodgkin,25
1984,males,65–74,mantle_cell,15
1984,males,75–84,dlbcl,50
1984,males,75–84,follicular,18
1984,males,75–84,hodgkin,12
1984,males,75–84,mantle_cell,8
1984,males,85+,dlbcl,13
1984,males,85+,follicular,3
1984,males,85+,hodgkin,1
1984,males,85+,mantle_cell,2
1985,females,15–24,dlbcl,4
1985,females,15–24,follicular,1
1985,females,15–24,hodgkin,32
1985,females,15–24,mantle_cell,0
1985,females,25–34,dlbcl,10
1985,females,25–34,follicular,4
1985,females,25–34,hodgkin,16
1985,females,25–34,mantle_cell,0
1985,females,35–44,dlbcl,16
1985,females,35–44,follicular,22
1985,females,35–44,hodgkin,8
1985,females,35–44,mantle_cell,0
1985,females,45–54,dlbcl,30
1985,females,45–54,follicular,35
1985,females,45–54,hodgkin,12
1985,females,45–54,mantle_cell,2
1985,females,55–64,dlbcl,56
1985,females,55–64,follicular,60
1985,females,55–64,hodgkin,14
1985,females,55–64,mantle_cell,5
1985,females,5–14,dlbcl,1
1985,females,5–14,follicular,0
1985,females,5–14,hodgkin,7
1985,females,5–14,mantle_cell,0
1985,females,65–74,dlbcl,82
1985,females,65–74,follicular,55
1985,females,65–74,hodgkin,10
1985,females,65–74,mantle_cell,6
1985,females,75–84,dlbcl,65
1985,females,75–84,follicular,27
1985,females,75–84,hodgkin,9
1985,females,75–84,mantle_cell,4
1985,females,85+,dlbcl,12
1985,females,85+,follicular,4
1985,females,85+,hodgkin,2
1985,females,85+,mantle_cell,1
1985,males,15–24,dlbcl,9
1985,males,15–24,follicular,3
1985,males,15–24,hodgkin,36
1985,males,15–24,mantle_cell,0
1985,males,25–34,dlbcl,17
1985,males,25–34,follicular,9
1985,males,25–34,hodgkin,45
1985,males,25–34,mantle_cell,0
1985,males,35–44,dlbcl,28
1985,males,35–44,follicular,24
1985,males,35–44,hodgkin,33
1985,males,35–44,mantle_cell,2
1985,males,45–54,dlbcl,36
1985,males,45–54,follicular,38
1985,males,45–54,hodgkin,12
1985,males,45–54,mantle_cell,6
1985,males,55–64,dlbcl,70
1985,males,55–64,follicular,59
1985,males,55–64,hodgkin,19
1985,males,55–64,mantle_cell,11
1985,males,5–14,dlbcl,2
1985,males,5–14,follicular,0
1985,males,5–14,hodgkin,8
1985,males,5–14,mantle_cell,0
1985,males,65–74,dlbcl,97
1985,males,65–74,follicular,58
1985,males,65–74,hodgkin,17
1985,males,65–74,mantle_cell,20
1985,males,75–84,dlbcl,58
1985,males,75–84,follicular,21
1985,males,75–84,hodgkin,7
1985,males,75–84,mantle_cell,9
1985,males,85+,dlbcl,8
1985,males,85+,follicular,2
1985,males,85+,hodgkin,0
1985,males,85+,mantle_cell,1
1986,females,15–24,dlbcl,6
1986,females,15–24,follicular,1
1986,females,15–24,hodgkin,34
1986,females,15–24,mantle_cell,0
1986,females,25–34,dlbcl,15
1986,females,25–34,follicular,6
1986,females,25–34,hodgkin,29
1986,females,25–34,mantle_cell,0
1986,females,35–44,dlbcl,20
1986,females,35–44,follicular,27
1986,females,35–44,hodgkin,12
1986,females,35–44,mantle_cell,1
1986,females,45–54,dlbcl,26
1986,females,45–54,follicular,31
1986,females,45–54,hodgkin,12
1986,females,45–54,mantle_cell,2
1986,females,55–64,dlbcl,53
1986,females,55–64,follicular,57
1986,females,55–64,hodgkin,16
1986,females,55–64,mantle_cell,4
1986,females,5–14,dlbcl,1
1986,females,5–14,follicular,0
1986,females,5–14,hodgkin,6
1986,females,5–14,mantle_cell,0
1986,females,65–74,dlbcl,77
1986,females,65–74,follicular,51
1986,females,65–74,hodgkin,14
1986,females,65–74,mantle_cell,6
1986,females,75–84,dlbcl,67
1986,females,75–84,follicular,28
1986,females,75–84,hodgkin,13
1986,females,75–84,mantle_cell,4
1986,females,85+,dlbcl,21
1986,females,85+,follicular,7
1986,females,85+,hodgkin,2
1986,females,85+,mantle_cell,2
1986,males,15–24,dlbcl,7
1986,males,15–24,follicular,2
1986,males,15–24,hodgkin,39
1986,males,15–24,mantle_cell,0
1986,males,25–34,dlbcl,12
1986,males,25–34,follicular,7
1986,males,25–34,hodgkin,36
1986,males,25–34,mantle_cell,0
1986,males,35–44,dlbcl,31
1986,males,35–44,follicular,27
1986,males,35–44,hodgkin,18
1986,males,35–44,mantle_cell,2
1986,males,45–54,dlbcl,40
1986,males,45–54,follicular,42
1986,males,45–54,hodgkin,17
1986,males,45–54,mantle_cell,6
1986,males,55–64,dlbcl,79
1986,males,55–64,follicular,67
1986,males,55–64,hodgkin,25
1986,males,55–64,mantle_cell,13
1986,males,5–14,dlbcl,2
1986,males,5–14,follicular,0
1986,males,5–14,hodgkin,14
1986,males,5–14,mantle_cell,0
1986,males,65–74,dlbcl,90
1986,males,65–74,follicular,54
1986,males,65–74,hodgkin,20
1986,males,65–74,mantle_cell,18
1986,males,75–84,dlbcl,63
1986,males,75–84,follicular,22
1986,males,75–84,hodgkin,13
1986,males,75–84,mantle_cell,10
1986,males,85+,dlbcl,12
1986,males,85+,follicular,3
1986,males,85+,hodgkin,3
1986,males,85+,mantle_cell,2
1987,females,15–24,dlbcl,4
1987,females,15–24,follicular,1
1987,females,15–24,hodgkin,28
1987,females,15–24,mantle_cell,0
1987,females,25–34,dlbcl,13
1987,females,25–34,follicular,5
1987,females,25–34,hodgkin,38
1987,females,25–34,mantle_cell,0
1987,females,35–44,dlbcl,20
1987,females,35–44,follicular,26
1987,females,35–44,hodgkin,21
1987,females,35–44,mantle_cell,1
1987,females,45–54,dlbcl,34
1987,females,45–54,follicular,41
1987,females,45–54,hodgkin,9
1987,females,45–54,mantle_cell,2
1987,females,55–64,dlbcl,56
1987,females,55–64,follicular,60
1987,females,55–64,hodgkin,13
1987,females,55–64,mantle_cell,5
1987,females,5–14,dlbcl,1
1987,females,5–14,follicular,1
1987,females,5–14,hodgkin,3
1987,females,5–14,mantle_cell,0
1987,females,65–74,dlbcl,98
1987,females,65–74,follicular,66
1987,females,65–74,hodgkin,15
1987,females,65–74,mantle_cell,7
1987,females,75–84,dlbcl,80
1987,females,75–84,follicular,33
1987,females,75–84,hodgkin,8
1987,females,75–84,mantle_cell,5
1987,females,85+,dlbcl,21
1987,females,85+,follicular,7
1987,females,85+,hodgkin,3
1987,females,85+,mantle_cell,2
1987,males,15–24,dlbcl,7
1987,males,15–24,follicular,2
1987,males,15–24,hodgkin,29
1987,males,15–24,mantle_cell,0
1987,males,25–34,dlbcl,22
1987,males,25–34,follicular,12
1987,males,25–34,hodgkin,42
1987,males,25–34,mantle_cell,1
1987,males,35–44,dlbcl,37
1987,males,35–44,follicular,32
1987,males,35–44,hodgkin,22
1987,males,35–44,mantle_cell,2
1987,males,45–54,dlbcl,43
1987,males,45–54,follicular,46
1987,males,45–54,hodgkin,18
1987,males,45–54,mantle_cell,7
1987,males,55–64,dlbcl,66
1987,males,55–64,follicular,55
1987,males,55–64,hodgkin,27
1987,males,55–64,mantle_cell,10
1987,males,5–14,dlbcl,4
1987,males,5–14,follicular,0
1987,males,5–14,hodgkin,10
1987,males,5–14,mantle_cell,0
1987,males,65–74,dlbcl,120
1987,males,65–74,follicular,71
1987,males,65–74,hodgkin,19
1987,males,65–74,mantle_cell,24
1987,males,75–84,dlbcl,70
1987,males,75–84,follicular,25
1987,males,75–84,hodgkin,12
1987,males,75–84,mantle_cell,11
1987,males,85+,dlbcl,15
1987,males,85+,follicular,4
1987,males,85+,hodgkin,3
1987,males,85+,mantle_cell,2
1988,females,15–24,dlbcl,6
1988,females,15–24,follicular,1
1988,females,15–24,hodgkin,37
1988,females,15–24,mantle_cell,0
1988,females,25–34,dlbcl,14
1988,females,25–34,follicular,6
1988,females,25–34,hodgkin,25
1988,females,25–34,mantle_cell,0
1988,females,35–44,dlbcl,20
1988,females,35–44,follicular,26
1988,females,35–44,hodgkin,20
1988,females,35–44,mantle_cell,1
1988,females,45–54,dlbcl,27
1988,females,45–54,follicular,33
1988,females,45–54,hodgkin,9
1988,females,45–54,mantle_cell,2
1988,females,55–64,dlbcl,61
1988,females,55–64,follicular,65
1988,females,55–64,hodgkin,11
1988,females,55–64,mantle_cell,5
1988,females,5–14,dlbcl,1
1988,females,5–14,follicular,0
1988,females,5–14,hodgkin,5
1988,females,5–14,mantle_cell,0
1988,females,65–74,dlbcl,103
1988,females,65–74,follicular,69
1988,females,65–74,hodgkin,17
1988,females,65–74,mantle_cell,8
