year,sex,age_group,population
1982,females,0–4,563564
1982,females,15–24,1288328
1982,females,25–34,1226834
1982,females,35–44,947756
1982,females,45–54,738648
1982,females,55–64,703833
1982,females,5–14,1265789
1982,females,65–74,524839
1982,females,75–84,266011
1982,females,85+,77731
1982,males,0–4,591710
1982,males,15–24,1334067
1982,males,25–34,1255375
1982,males,35–44,991290
1982,males,45–54,775781
1982,males,55–64,678581
1982,males,5–14,1323923
1982,males,65–74,436046
1982,males,75–84,165681
1982,males,85+,28460
1983,females,0–4,570067
1983,females,15–24,1290725
1983,females,25–34,1242951
1983,females,35–44,992503
1983,females,45–54,741225
1983,females,55–64,717736
1983,females,5–14,1260757
1983,females,65–74,533650
1983,females,75–84,277248
1983,females,85+,80264
1983,males,0–4,600168
1983,males,15–24,1338594
1983,males,25–34,1266432
1983,males,35–44,1039123
1983,males,45–54,778459
1983,males,55–64,698944
1983,males,5–14,1320028
1983,males,65–74,442355
1983,males,75–84,173224
1983,males,85+,29019
1984,females,0–4,576921
1984,females,15–24,1294653
1984,females,25–34,1259023
1984,females,35–44,1032150
1984,females,45–54,747940
1984,females,55–64,730933
1984,females,5–14,1245965
1984,females,65–74,541225
1984,females,75–84,289143
1984,females,85+,83226
1984,males,0–4,606912
1984,males,15–24,1344687
1984,males,25–34,1278540
1984,males,35–44,1078800
1984,males,45–54,785084
1984,males,55–64,717990
1984,males,5–14,1306007
1984,males,65–74,448340
1984,males,75–84,181655
1984,males,85+,30197
1985,females,0–4,585383
1985,females,15–24,1300631
1985,females,25–34,1277654
1985,females,35–44,1075499
1985,females,45–54,756534
1985,females,55–64,737796
1985,females,5–14,1232259
1985,females,65–74,551629
1985,females,75–84,299388
1985,females,85+,88811
1985,males,0–4,614173
1985,males,15–24,1353526
1985,males,25–34,1294508
1985,males,35–44,1120654
1985,males,45–54,795167
1985,males,55–64,729773
1985,males,5–14,1293726
1985,males,65–74,459049
1985,males,75–84,189745
1985,males,85+,32407
1986,females,0–4,589465
1986,females,15–24,1314958
1986,females,25–34,1300222
1986,females,35–44,1119161
1986,females,45–54,768943
1986,females,55–64,738536
1986,females,5–14,1213953
1986,females,65–74,567952
1986,females,75–84,310384
1986,females,85+,94589
1986,males,0–4,619020
1986,males,15–24,1368973
1986,males,25–34,1317452
1986,males,35–44,1161863
1986,males,45–54,810180
1986,males,55–64,736433
1986,males,5–14,1277080
1986,males,65–74,475396
1986,males,75–84,199083
1986,males,85+,34707
1987,females,0–4,594528
1987,females,15–24,1331258
1987,females,25–34,1328866
1987,females,35–44,1160141
1987,females,45–54,789788
1987,females,55–64,735526
1987,females,5–14,1202322
1987,females,65–74,583343
1987,females,75–84,322653
1987,females,85+,97194
1987,males,0–4,624156
1987,males,15–24,1382212
1987,males,25–34,1344758
1987,males,35–44,1197621
1987,males,45–54,831306
1987,males,55–64,735767
1987,males,5–14,1266338
1987,males,65–74,491806
1987,males,75–84,208037
1987,males,85+,36254
1988,females,0–4,600143
1988,females,15–24,1341966
1988,females,25–34,1356914
1988,females,35–44,1204491
1988,females,45–54,812633
1988,females,55–64,733594
1988,females,5–14,1201906
1988,females,65–74,596839
1988,females,75–84,334920
1988,females,85+,99813
1988,males,0–4,629408
1988,males,15–24,1391527
1988,males,25–34,1372201
1988,males,35–44,1237121
1988,males,45–54,854872
1988,males,55–64,736431
1988,males,5–14,1267574
1988,males,65–74,504961
1988,males,75–84,216965
1988,males,85+,37885
1989,females,0–4,606818
1989,females,15–24,1349711
1989,females,25–34,1383752
1989,females,35–44,1241632
1989,females,45–54,845097
1989,females,55–64,731593
1989,females,5–14,1207741
1989,females,65–74,608685
1989,females,75–84,348590
1989,females,85+,103208
1989,males,0–4,637032
1989,males,15–24,1399357
1989,males,25–34,1399016
1989,males,35–44,1268740
1989,males,45–54,888220
1989,males,55–64,735885
1989,males,5–14,1273327
1989,males,65–74,519169
1989,males,75–84,226863
1989,males,85+,39980
1990,females,0–4,612921
1990,females,15–24,1354814
1990,females,25–34,1401226
1990,females,35–44,1275233
1990,females,45–54,879521
1990,females,55–64,729790
1990,females,5–14,1215529
1990,females,65–74,619200
1990,females,75–84,360016
1990,females,85+,105609
1990,males,0–4,645231
1990,males,15–24,1405949
1990,males,25–34,1414983
1990,males,35–44,1296753
1990,males,45–54,923740
1990,males,55–64,734744
1990,males,5–14,1281313
1990,males,65–74,531677
1990,males,75–84,235313
1990,males,85+,41566
1991,females,0–4,619401
1991,females,15–24,1354941
1991,females,25–34,1408886
1991,females,35–44,1303292
1991,females,45–54,915819
1991,females,55–64,728737
1991,females,5–14,1223098
1991,females,65–74,633509
1991,females,75–84,370917
1991,females,85+,110027
1991,males,0–4,652302
1991,males,15–24,1405897
1991,males,25–34,1416512
1991,males,35–44,1319366
1991,males,45–54,960260
1991,males,55–64,734081
1991,males,5–14,1290729
1991,males,65–74,548636
1991,males,75–84,243406
1991,males,85+,44220
1992,females,0–4,625533
1992,females,15–24,1349007
1992,females,25–34,1413223
1992,females,35–44,1318035
1992,females,45–54,961884
1992,females,55–64,730956
1992,females,5–14,1231172
1992,females,65–74,644913
1992,females,75–84,380228
1992,females,85+,115428
1992,males,0–4,658415
1992,males,15–24,1400961
1992,males,25–34,1418342
1992,males,35–44,1328066
1992,males,45–54,1007072
1992,males,55–64,736162
1992,males,5–14,1297959
1992,males,65–74,563724
1992,males,75–84,250255
1992,males,85+,47300
1993,females,0–4,628900
1993,females,15–24,1338983
1993,females,25–34,1408819
1993,females,35–44,1333110
1993,females,45–54,1005048
1993,females,55–64,733911
1993,females,5–14,1237200
1993,females,65–74,657652
1993,females,75–84,387676
1993,females,85+,121529
1993,males,0–4,662243
1993,males,15–24,1391098
1993,males,25–34,1413349
1993,males,35–44,1336729
1993,males,45–54,1049696
1993,males,55–64,740162
1993,males,5–14,1302912
1993,males,65–74,579412
1993,males,75–84,256109
1993,males,85+,50270
1994,females,0–4,631107
1994,females,15–24,1326846
1994,females,25–34,1409917
1994,females,35–44,1351624
1994,females,45–54,1046110
1994,females,55–64,740402
1994,females,5–14,1244920
1994,females,65–74,669847
1994,females,75–84,393929
1994,females,85+,127089
1994,males,0–4,664778
1994,males,15–24,1380054
1994,males,25–34,1413534
1994,males,35–44,1351022
1994,males,45–54,1088415
1994,males,55–64,746948
1994,males,5–14,1309966
1994,males,65–74,594617
1994,males,75–84,261167
1994,males,85+,53176
1995,females,0–4,631233
1995,females,15–24,1316567
1995,females,25–34,1413020
1995,females,35–44,1375600
1995,females,45–54,1088632
1995,females,55–64,749341
1995,females,5–14,1257412
1995,females,65–74,674533
1995,females,75–84,404310
1995,females,85+,133804
1995,males,0–4,664968
1995,males,15–24,1369557
1995,males,25–34,1416568
1995,males,35–44,1372025
1995,males,45–54,1127457
1995,males,55–64,757263
1995,males,5–14,1321960
1995,males,65–74,602914
1995,males,75–84,271125
1995,males,85+,56593
1996,females,0–4,628737
1996,females,15–24,1304118
1996,females,25–34,1424366
