year,sex,age_group,population
2022,females,0–4,735808
2022,females,15–24,1534787
2022,females,25–34,1870327
2022,females,35–44,1817166
2022,females,45–54,1659107
2022,females,55–64,1547030
2022,females,5–14,1579326
2022,females,65–74,1269307
2022,females,75–84,759341
2022,females,85+,331360
2022,males,0–4,777241
2022,males,15–24,1636724
2022,males,25–34,1871811
2022,males,35–44,1782054
2022,males,45–54,1616921
2022,males,55–64,1479996
2022,males,5–14,1671552
2022,males,65–74,1178448
2022,males,75–84,678939
2022,males,85+,215816
2023,females,0–4,742695
2023,females,15–24,1593688
2023,females,25–34,1885882
2023,females,35–44,1869879
2023,females,45–54,1673254
2023,females,55–64,1568426
2023,females,5–14,1593387
2023,females,65–74,1302503
2023,females,75–84,802356
2023,females,85+,340192
2023,males,0–4,783622
2023,males,15–24,1702022
2023,males,25–34,1889462
2023,males,35–44,1830766
2023,males,45–54,1626600
2023,males,55–64,1498934
2023,males,5–14,1685394
2023,males,65–74,1202992
2023,males,75–84,718384
2023,males,85+,224929
2024,females,0–4,747934
2024,females,15–24,1637594
2024,females,25–34,1891095
2024,females,35–44,1915767
2024,females,45–54,1683363
2024,females,55–64,1589526
2024,females,5–14,1601464
2024,females,65–74,1337176
2024,females,75–84,842261
2024,females,85+,350458
2024,males,0–4,787606
2024,males,15–24,1749343
2024,males,25–34,1900480
2024,males,35–44,1874514
2024,males,45–54,1633451
2024,males,55–64,1516666
2024,males,5–14,1693629
2024,males,65–74,1231618
2024,males,75–84,753033
2024,males,85+,234788
2025,females,0–4,754551
2025,females,15–24,1677600
2025,females,25–34,1895738
2025,females,35–44,1961709
2025,females,45–54,1695364
2025,females,55–64,1608406
2025,females,5–14,1604395
2025,females,65–74,1371707
2025,females,75–84,883713
2025,females,85+,361224
2025,males,0–4,794350
2025,males,15–24,1789031
2025,males,25–34,1914182
2025,males,35–44,1917464
2025,males,45–54,1642296
2025,males,55–64,1533528
2025,males,5–14,1696451
2025,males,65–74,1260551
2025,males,75–84,786981
2025,males,85+,245770
2026,females,0–4,758641
2026,females,15–24,1714884
2026,females,25–34,1897416
2026,females,35–44,2000085
2026,females,45–54,1703771
2026,females,55–64,1633336
2026,females,5–14,1610012
2026,females,65–74,1409782
2026,females,75–84,925167
2026,females,85+,372645
2026,males,0–4,798661
2026,males,15–24,1825029
2026,males,25–34,1927169
2026,males,35–44,1951079
2026,males,45–54,1650445
2026,males,55–64,1554424
2026,males,5–14,1701597
2026,males,65–74,1293859
2026,males,75–84,820568
2026,males,85+,257114
2027,females,0–4,758274
2027,females,15–24,1755079
2027,females,25–34,1897088
2027,females,35–44,2031223
2027,females,45–54,1718944
2027,females,55–64,1654503
2027,females,5–14,1616853
2027,females,65–74,1447485
2027,females,75–84,963530
2027,females,85+,386413
2027,males,0–4,798939
2027,males,15–24,1865910
2027,males,25–34,1936794
2027,males,35–44,1975453
2027,males,45–54,1666173
2027,males,55–64,1571546
2027,males,5–14,1707829
2027,males,65–74,1328100
2027,males,75–84,850259
2027,males,85+,270699
2028,females,0–4,761926
2028,females,15–24,1790690
2028,females,25–34,1898864
2028,females,35–44,2054648
2028,females,45–54,1747685
2028,females,55–64,1666834
2028,females,5–14,1618286
2028,females,65–74,1482839
2028,females,75–84,1003378
2028,females,85+,400186
2028,males,0–4,802840
2028,males,15–24,1903808
2028,males,25–34,1946872
2028,males,35–44,1993885
2028,males,45–54,1694087
2028,males,55–64,1581800
2028,males,5–14,1707784
2028,males,65–74,1360347
2028,males,75–84,881368
2028,males,85+,283145
2029,females,0–4,764882
2029,females,15–24,1818679
2029,females,25–34,1905036
2029,females,35–44,2075180
2029,females,45–54,1782183
2029,females,55–64,1676512
2029,females,5–14,1620123
2029,females,65–74,1514204
2029,females,75–84,1038227
2029,females,85+,418555
2029,males,0–4,806000
2029,males,15–24,1931516
2029,males,25–34,1961352
2029,males,35–44,2012619
2029,males,45–54,1726592
2029,males,55–64,1589881
2029,males,5–14,1708750
2029,males,65–74,1389947
2029,males,75–84,906576
2029,males,85+,299503
2030,females,0–4,767651
2030,females,15–24,1838867
2030,females,25–34,1914222
2030,females,35–44,2091821
2030,females,45–54,1822559
2030,females,55–64,1687246
2030,females,5–14,1622535
2030,females,65–74,1537318
2030,females,75–84,1072077
2030,females,85+,439118
2030,males,0–4,808964
2030,males,15–24,1950873
2030,males,25–34,1978202
2030,males,35–44,2030799
2030,males,45–54,1763693
2030,males,55–64,1599149
2030,males,5–14,1709694
2030,males,65–74,1411951
2030,males,75–84,931083
2030,males,85+,317148
2031,females,0–4,770496
2031,females,15–24,1853731
2031,females,25–34,1932115
2031,females,35–44,2101909
2031,females,45–54,1866422
2031,females,55–64,1697629
2031,females,5–14,1621745
2031,females,65–74,1555025
2031,females,75–84,1105409
2031,females,85+,460777
2031,males,0–4,811997
2031,males,15–24,1964935
2031,males,25–34,2002916
2031,males,35–44,2042432
2031,males,45–54,1804098
2031,males,55–64,1608871
2031,males,5–14,1708115
2031,males,65–74,1427432
2031,males,75–84,956166
