year,cancer_group,duration,sex,age_group,prevalence
2000,Hodgkin lymphoma,1,females,15–24,48
2000,Hodgkin lymphoma,1,females,25–34,39
2000,Hodgkin lymphoma,1,females,35–44,33
2000,Hodgkin lymphoma,1,females,45–54,11
2000,Hodgkin lymphoma,1,females,55–64,10
2000,Hodgkin lymphoma,1,females,5–14,9
2000,Hodgkin lymphoma,1,females,65–74,15
2000,Hodgkin lymphoma,1,females,75–84,14
2000,Hodgkin lymphoma,1,females,85+,3
2000,Hodgkin lymphoma,1,males,15–24,50
2000,Hodgkin lymphoma,1,males,25–34,53
2000,Hodgkin lymphoma,1,males,35–44,31
2000,Hodgkin lymphoma,1,males,45–54,31
2000,Hodgkin lymphoma,1,males,55–64,20
2000,Hodgkin lymphoma,1,males,5–14,13
2000,Hodgkin lymphoma,1,males,65–74,17
2000,Hodgkin lymphoma,1,males,75–84,6
2000,Hodgkin lymphoma,1,males,85+,1
2000,Hodgkin lymphoma,5,females,15–24,170
2000,Hodgkin lymphoma,5,females,25–34,234
2000,Hodgkin lymphoma,5,females,35–44,151
2000,Hodgkin lymphoma,5,females,45–54,79
2000,Hodgkin lymphoma,5,females,55–64,49
2000,Hodgkin lymphoma,5,females,5–14,19
2000,Hodgkin lymphoma,5,females,65–74,57
2000,Hodgkin lymphoma,5,females,75–84,36
2000,Hodgkin lymphoma,5,females,85+,9
2000,Hodgkin lymphoma,5,males,15–24,191
2000,Hodgkin lymphoma,5,males,25–34,258
2000,Hodgkin lymphoma,5,males,35–44,167
2000,Hodgkin lymphoma,5,males,45–54,139
2000,Hodgkin lymphoma,5,males,55–64,79
2000,Hodgkin lymphoma,5,males,5–14,40
2000,Hodgkin lymphoma,5,males,65–74,62
2000,Hodgkin lymphoma,5,males,75–84,33
2000,Hodgkin lymphoma,5,males,85+,4
2000,Hodgkin lymphoma,10,females,15–24,241
2000,Hodgkin lymphoma,10,females,25–34,425
2000,Hodgkin lymphoma,10,females,35–44,320
2000,Hodgkin lymphoma,10,females,45–54,144
2000,Hodgkin lymphoma,10,females,55–64,85
2000,Hodgkin lymphoma,10,females,5–14,19
2000,Hodgkin lymphoma,10,females,65–74,86
2000,Hodgkin lymphoma,10,females,75–84,64
2000,Hodgkin lymphoma,10,females,85+,17
2000,Hodgkin lymphoma,10,males,15–24,281
2000,Hodgkin lymphoma,10,males,25–34,440
2000,Hodgkin lymphoma,10,males,35–44,334
2000,Hodgkin lymphoma,10,males,45–54,239
2000,Hodgkin lymphoma,10,males,55–64,144
2000,Hodgkin lymphoma,10,males,5–14,52
2000,Hodgkin lymphoma,10,males,65–74,100
2000,Hodgkin lymphoma,10,males,75–84,61
2000,Hodgkin lymphoma,10,males,85+,6
2000,Non-Hodgkin lymphoma,1,females,15–24,12
2000,Non-Hodgkin lymphoma,1,females,25–34,36
2000,Non-Hodgkin lymphoma,1,females,35–44,94
2000,Non-Hodgkin lymphoma,1,females,45–54,169
2000,Non-Hodgkin lymphoma,1,females,55–64,266
2000,Non-Hodgkin lymphoma,1,females,5–14,13
2000,Non-Hodgkin lymphoma,1,females,65–74,290
2000,Non-Hodgkin lymphoma,1,females,75–84,305
2000,Non-Hodgkin lymphoma,1,females,85+,117
2000,Non-Hodgkin lymphoma,1,males,15–24,32
2000,Non-Hodgkin lymphoma,1,males,25–34,68
2000,Non-Hodgkin lymphoma,1,males,35–44,109
2000,Non-Hodgkin lymphoma,1,males,45–54,239
2000,Non-Hodgkin lymphoma,1,males,55–64,332
2000,Non-Hodgkin lymphoma,1,males,5–14,19
2000,Non-Hodgkin lymphoma,1,males,65–74,373
2000,Non-Hodgkin lymphoma,1,males,75–84,279
2000,Non-Hodgkin lymphoma,1,males,85+,65
2000,Non-Hodgkin lymphoma,5,females,15–24,51
2000,Non-Hodgkin lymphoma,5,females,25–34,134
2000,Non-Hodgkin lymphoma,5,females,35–44,317
2000,Non-Hodgkin lymphoma,5,females,45–54,679
2000,Non-Hodgkin lymphoma,5,females,55–64,907
2000,Non-Hodgkin lymphoma,5,females,5–14,42
2000,Non-Hodgkin lymphoma,5,females,65–74,1113
2000,Non-Hodgkin lymphoma,5,females,75–84,1044
2000,Non-Hodgkin lymphoma,5,females,85+,342
2000,Non-Hodgkin lymphoma,5,males,15–24,125
2000,Non-Hodgkin lymphoma,5,males,25–34,211
2000,Non-Hodgkin lymphoma,5,males,35–44,457
2000,Non-Hodgkin lymphoma,5,males,45–54,862
2000,Non-Hodgkin lymphoma,5,males,55–64,1105
2000,Non-Hodgkin lymphoma,5,males,5–14,89
2000,Non-Hodgkin lymphoma,5,males,65–74,1308
2000,Non-Hodgkin lymphoma,5,males,75–84,973
2000,Non-Hodgkin lymphoma,5,males,85+,213
2000,Non-Hodgkin lymphoma,10,females,15–24,89
2000,Non-Hodgkin lymphoma,10,females,25–34,210
2000,Non-Hodgkin lymphoma,10,females,35–44,478
2000,Non-Hodgkin lymphoma,10,females,45–54,1049
2000,Non-Hodgkin lymphoma,10,females,55–64,1348
2000,Non-Hodgkin lymphoma,10,females,5–14,58
2000,Non-Hodgkin lymphoma,10,females,65–74,1690
2000,Non-Hodgkin lymphoma,10,females,75–84,1577
2000,Non-Hodgkin lymphoma,10,females,85+,519
2000,Non-Hodgkin lymphoma,10,males,15–24,192
2000,Non-Hodgkin lymphoma,10,males,25–34,329
2000,Non-Hodgkin lymphoma,10,males,35–44,695
2000,Non-Hodgkin lymphoma,10,males,45–54,1294
2000,Non-Hodgkin lymphoma,10,males,55–64,1686
2000,Non-Hodgkin lymphoma,10,males,5–14,137
2000,Non-Hodgkin lymphoma,10,males,65–74,1945
2000,Non-Hodgkin lymphoma,10,males,75–84,1417
2000,Non-Hodgkin lymphoma,10,males,85+,319
2001,Hodgkin lymphoma,1,females,15–24,46
2001,Hodgkin lymphoma,1,females,25–34,39
2001,Hodgkin lymphoma,1,females,35–44,30
2001,Hodgkin lymphoma,1,females,45–54,18
2001,Hodgkin lymphoma,1,females,55–64,11
2001,Hodgkin lymphoma,1,females,5–14,7
2001,Hodgkin lymphoma,1,females,65–74,11
2001,Hodgkin lymphoma,1,females,75–84,14
2001,Hodgkin lymphoma,1,females,85+,3
2001,Hodgkin lymphoma,1,males,15–24,50
2001,Hodgkin lymphoma,1,males,25–34,32
2001,Hodgkin lymphoma,1,males,35–44,37
2001,Hodgkin lymphoma,1,males,45–54,26
2001,Hodgkin lymphoma,1,males,55–64,30
2001,Hodgkin lymphoma,1,males,5–14,18
2001,Hodgkin lymphoma,1,males,65–74,18
2001,Hodgkin lymphoma,1,males,75–84,6
2001,Hodgkin lymphoma,1,males,85+,1
2001,Hodgkin lymphoma,5,females,15–24,180
2001,Hodgkin lymphoma,5,females,25–34,232
2001,Hodgkin lymphoma,5,females,35–44,161
2001,Hodgkin lymphoma,5,females,45–54,85
2001,Hodgkin lymphoma,5,females,55–64,48
2001,Hodgkin lymphoma,5,females,5–14,15
2001,Hodgkin lymphoma,5,females,65–74,61
2001,Hodgkin lymphoma,5,females,75–84,39
2001,Hodgkin lymphoma,5,females,85+,10
2001,Hodgkin lymphoma,5,males,15–24,191
2001,Hodgkin lymphoma,5,males,25–34,251
2001,Hodgkin lymphoma,5,males,35–44,182
2001,Hodgkin lymphoma,5,males,45–54,126
2001,Hodgkin lymphoma,5,males,55–64,91
2001,Hodgkin lymphoma,5,males,5–14,47
2001,Hodgkin lymphoma,5,males,65–74,64
2001,Hodgkin lymphoma,5,males,75–84,30
2001,Hodgkin lymphoma,5,males,85+,4
2001,Hodgkin lymphoma,10,females,15–24,248
2001,Hodgkin lymphoma,10,females,25–34,434
2001,Hodgkin lymphoma,10,females,35–44,326
2001,Hodgkin lymphoma,10,females,45–54,155
2001,Hodgkin lymphoma,10,females,55–64,90
2001,Hodgkin lymphoma,10,females,5–14,18
2001,Hodgkin lymphoma,10,females,65–74,90
2001,Hodgkin lymphoma,10,females,75–84,66
2001,Hodgkin lymphoma,10,females,85+,19
2001,Hodgkin lymphoma,10,males,15–24,283
