year,duration,sex,age_group,subtype,prevalence,rate
2012,1,males,5–14,follicular,2,0.1
2012,1,males,15–24,follicular,4,0.3
2012,1,males,25–34,follicular,12,0.7
2012,1,males,35–44,follicular,53,3.3
2012,1,males,45–54,follicular,85,5.6
2012,1,males,55–64,follicular,166,12.8
2012,1,males,65–74,follicular,154,17.1
2012,1,males,75–84,follicular,86,18.5
2012,1,males,85+,follicular,24,15.9
2012,1,females,5–14,follicular,0,0
2012,1,females,15–24,follicular,3,0.2
2012,1,females,25–34,follicular,8,0.5
2012,1,females,35–44,follicular,36,2.2
2012,1,females,45–54,follicular,99,6.4
2012,1,females,55–64,follicular,136,10.3
2012,1,females,65–74,follicular,112,12.2
2012,1,females,75–84,follicular,88,15.7
2012,1,females,85+,follicular,19,6.9
2012,5,males,5–14,follicular,2,0.1
2012,5,males,15–24,follicular,8,0.5
2012,5,males,25–34,follicular,49,2.9
2012,5,males,35–44,follicular,202,12.7
2012,5,males,45–54,follicular,385,25.4
2012,5,males,55–64,follicular,687,53.2
2012,5,males,65–74,follicular,719,80.1
2012,5,males,75–84,follicular,380,81.9
2012,5,males,85+,follicular,104,68.9
2012,5,females,5–14,follicular,0,0
2012,5,females,15–24,follicular,3,0.2
2012,5,females,25–34,follicular,27,1.6
2012,5,females,35–44,follicular,150,9.3
2012,5,females,45–54,follicular,364,23.5
2012,5,females,55–64,follicular,600,45.5
2012,5,females,65–74,follicular,574,62.4
2012,5,females,75–84,follicular,360,64.3
2012,5,females,85+,follicular,136,49.1
2012,10,males,5–14,follicular,2,0.1
2012,10,males,15–24,follicular,15,0.9
2012,10,males,25–34,follicular,66,3.9
2012,10,males,35–44,follicular,290,18.2
2012,10,males,45–54,follicular,651,42.9
2012,10,males,55–64,follicular,1143,88.5
2012,10,males,65–74,follicular,1264,140.8
2012,10,males,75–84,follicular,674,145.2
2012,10,males,85+,follicular,177,117.2
2012,10,females,5–14,follicular,1,0
2012,10,females,15–24,follicular,5,0.3
2012,10,females,25–34,follicular,37,2.2
2012,10,females,35–44,follicular,213,13.2
2012,10,females,45–54,follicular,569,36.7
2012,10,females,55–64,follicular,1023,77.5
2012,10,females,65–74,follicular,1041,113.2
2012,10,females,75–84,follicular,654,116.9
2012,10,females,85+,follicular,240,86.6
2013,1,males,5–14,follicular,1,0
2013,1,males,15–24,follicular,2,0.1
2013,1,males,25–34,follicular,9,0.5
2013,1,males,35–44,follicular,44,2.8
2013,1,males,45–54,follicular,96,6.3
2013,1,males,55–64,follicular,125,9.5
2013,1,males,65–74,follicular,165,17.6
2013,1,males,75–84,follicular,84,17.6
2013,1,males,85+,follicular,26,16.3
2013,1,females,5–14,follicular,0,0
2013,1,females,15–24,follicular,0,0
2013,1,females,25–34,follicular,9,0.5
2013,1,females,35–44,follicular,36,2.2
2013,1,females,45–54,follicular,93,5.9
2013,1,females,55–64,follicular,118,8.8
2013,1,females,65–74,follicular,140,14.6
2013,1,females,75–84,follicular,89,15.7
2013,1,females,85+,follicular,18,6.3
2013,5,males,5–14,follicular,3,0.1
2013,5,males,15–24,follicular,8,0.5
2013,5,males,25–34,follicular,49,2.9
2013,5,males,35–44,follicular,195,12.2
2013,5,males,45–54,follicular,396,25.9
2013,5,males,55–64,follicular,659,50.3
2013,5,males,65–74,follicular,768,82.1
2013,5,males,75–84,follicular,410,86.1
2013,5,males,85+,follicular,121,75.8
2013,5,females,5–14,follicular,0,0
2013,5,females,15–24,follicular,2,0.1
2013,5,females,25–34,follicular,29,1.7
2013,5,females,35–44,follicular,145,9
2013,5,females,45–54,follicular,365,23.3
2013,5,females,55–64,follicular,590,43.8
2013,5,females,65–74,follicular,619,64.5
2013,5,females,75–84,follicular,373,65.7
2013,5,females,85+,follicular,122,42.6
2013,10,males,5–14,follicular,3,0.1
2013,10,males,15–24,follicular,12,0.8
2013,10,males,25–34,follicular,68,4
2013,10,males,35–44,follicular,283,17.7
2013,10,males,45–54,follicular,662,43.4
2013,10,males,55–64,follicular,1135,86.6
2013,10,males,65–74,follicular,1317,140.7
2013,10,males,75–84,follicular,705,148
2013,10,males,85+,follicular,201,125.9
2013,10,females,5–14,follicular,0,0
2013,10,females,15–24,follicular,5,0.3
2013,10,females,25–34,follicular,42,2.5
2013,10,females,35–44,follicular,213,13.2
2013,10,females,45–54,follicular,575,36.8
2013,10,females,55–64,follicular,1029,76.4
2013,10,females,65–74,follicular,1106,115.2
2013,10,females,75–84,follicular,684,120.5
2013,10,females,85+,follicular,244,85.3
2014,1,males,5–14,follicular,1,0
2014,1,males,15–24,follicular,3,0.2
2014,1,males,25–34,follicular,9,0.5
2014,1,males,35–44,follicular,39,2.4
2014,1,males,45–54,follicular,96,6.3
2014,1,males,55–64,follicular,155,11.7
2014,1,males,65–74,follicular,177,18.2
2014,1,males,75–84,follicular,90,18.4
2014,1,males,85+,follicular,26,15.5
2014,1,females,5–14,follicular,0,0
2014,1,females,15–24,follicular,0,0
2014,1,females,25–34,follicular,8,0.5
2014,1,females,35–44,follicular,34,2.1
2014,1,females,45–54,follicular,84,5.3
2014,1,females,55–64,follicular,138,10
2014,1,females,65–74,follicular,156,15.6
2014,1,females,75–84,follicular,82,14.2
2014,1,females,85+,follicular,34,11.6
2014,5,males,5–14,follicular,4,0.2
2014,5,males,15–24,follicular,9,0.6
2014,5,males,25–34,follicular,43,2.5
2014,5,males,35–44,follicular,177,11.1
2014,5,males,45–54,follicular,415,27.1
2014,5,males,55–64,follicular,682,51.3
2014,5,males,65–74,follicular,768,79
2014,5,males,75–84,follicular,420,85.9
2014,5,males,85+,follicular,126,75.1
2014,5,females,5–14,follicular,0,0
2014,5,females,15–24,follicular,2,0.1
2014,5,females,25–34,follicular,27,1.5
2014,5,females,35–44,follicular,137,8.4
2014,5,females,45–54,follicular,365,23.1
2014,5,females,55–64,follicular,604,43.9
2014,5,females,65–74,follicular,671,67.2
2014,5,females,75–84,follicular,358,62
2014,5,females,85+,follicular,126,43
2014,10,males,5–14,follicular,4,0.2
2014,10,males,15–24,follicular,12,0.7
2014,10,males,25–34,follicular,67,3.8
2014,10,males,35–44,follicular,275,17.2
2014,10,males,45–54,follicular,673,43.9
2014,10,males,55–64,follicular,1150,86.5
2014,10,males,65–74,follicular,1376,141.6
2014,10,males,75–84,follicular,752,153.7
2014,10,males,85+,follicular,227,135.2
2014,10,females,5–14,follicular,0,0
2014,10,females,15–24,follicular,4,0.3
2014,10,females,25–34,follicular,40,2.3
2014,10,females,35–44,follicular,202,12.5
2014,10,females,45–54,follicular,590,37.4
2014,10,females,55–64,follicular,1047,76.1
2014,10,females,65–74,follicular,1209,121.1
2014,10,females,75–84,follicular,667,115.5
2014,10,females,85+,follicular,281,95.9
2015,1,males,5–14,follicular,0,0
2015,1,males,15–24,follicular,4,0.2
2015,1,males,25–34,follicular,8,0.4
2015,1,males,35–44,follicular,41,2.6
2015,1,males,45–54,follicular,89,5.8
2015,1,males,55–64,follicular,155,11.5
2015,1,males,65–74,follicular,172,17.1
2015,1,males,75–84,follicular,109,21.7
2015,1,males,85+,follicular,27,15.4
2015,1,females,5–14,follicular,0,0
2015,1,females,15–24,follicular,2,0.1
2015,1,females,25–34,follicular,5,0.3
2015,1,females,35–44,follicular,25,1.5
2015,1,females,45–54,follicular,75,4.7
2015,1,females,55–64,follicular,146,10.4
2015,1,females,65–74,follicular,168,16.2
2015,1,females,75–84,follicular,67,11.4
2015,1,females,85+,follicular,21,7
2015,5,males,5–14,follicular,3,0.1
2015,5,males,15–24,follicular,11,0.7
2015,5,males,25–34,follicular,36,2
2015,5,males,35–44,follicular,170,10.6
2015,5,males,45–54,follicular,403,26.1
2015,5,males,55–64,follicular,686,50.8
2015,5,males,65–74,follicular,786,78
2015,5,males,75–84,follicular,472,93.9
2015,5,males,85+,follicular,131,74.7
2015,5,females,5–14,follicular,0,0
2015,5,females,15–24,follicular,4,0.3
2015,5,females,25–34,follicular,24,1.3
2015,5,females,35–44,follicular,131,8.1
2015,5,females,45–54,follicular,365,22.9
2015,5,females,55–64,follicular,625,44.5
2015,5,females,65–74,follicular,693,66.8
2015,5,females,75–84,follicular,360,61.2
2015,5,females,85+,follicular,135,45.1
2015,10,males,5–14,follicular,3,0.1
2015,10,males,15–24,follicular,14,0.9
2015,10,males,25–34,follicular,57,3.2
2015,10,males,35–44,follicular,266,16.6
2015,10,males,45–54,follicular,660,42.8
2015,10,males,55–64,follicular,1191,88.2
2015,10,males,65–74,follicular,1417,140.6
2015,10,males,75–84,follicular,821,163.2
2015,10,males,85+,follicular,244,139.2
2015,10,females,5–14,follicular,0,0
2015,10,females,15–24,follicular,5,0.3
2015,10,females,25–34,follicular,35,2
2015,10,females,35–44,follicular,198,12.2
2015,10,females,45–54,follicular,585,36.7
2015,10,females,55–64,follicular,1075,76.6
2015,10,females,65–74,follicular,1275,122.9
2015,10,females,75–84,follicular,687,116.7
2015,10,females,85+,follicular,286,95.5
2016,1,males,5–14,follicular,4,0.2
2016,1,males,15–24,follicular,4,0.2
2016,1,males,25–34,follicular,12,0.7
2016,1,males,35–44,follicular,41,2.5
2016,1,males,45–54,follicular,112,7.2
2016,1,males,55–64,follicular,165,12
2016,1,males,65–74,follicular,167,16
2016,1,males,75–84,follicular,104,20
2016,1,males,85+,follicular,33,18.2
2016,1,females,5–14,follicular,0,0
2016,1,females,15–24,follicular,1,0.1
2016,1,females,25–34,follicular,4,0.2
2016,1,females,35–44,follicular,28,1.7
2016,1,females,45–54,follicular,91,5.6
2016,1,females,55–64,follicular,133,9.3
2016,1,females,65–74,follicular,174,16.2
2016,1,females,75–84,follicular,97,16.1
2016,1,females,85+,follicular,27,8.9
2016,5,males,5–14,follicular,6,0.3
2016,5,males,15–24,follicular,15,0.9
2016,5,males,25–34,follicular,36,2
2016,5,males,35–44,follicular,163,10.1
2016,5,males,45–54,follicular,425,27.3
2016,5,males,55–64,follicular,683,49.7
2016,5,males,65–74,follicular,825,79.2
2016,5,males,75–84,follicular,487,93.5
2016,5,males,85+,follicular,139,76.6
2016,5,females,5–14,follicular,0,0
2016,5,females,15–24,follicular,3,0.2
2016,5,females,25–34,follicular,21,1.2
2016,5,females,35–44,follicular,126,7.7
2016,5,females,45–54,follicular,363,22.5
2016,5,females,55–64,follicular,639,44.5
2016,5,females,65–74,follicular,745,69.2
2016,5,females,75–84,follicular,402,66.5
2016,5,females,85+,follicular,152,49.9
2016,10,males,5–14,follicular,6,0.3
2016,10,males,15–24,follicular,18,1.1
2016,10,males,25–34,follicular,53,2.9
2016,10,males,35–44,follicular,266,16.4
2016,10,males,45–54,follicular,673,43.2
2016,10,males,55–64,follicular,1199,87.2
2016,10,males,65–74,follicular,1470,141.1
2016,10,males,75–84,follicular,864,165.9
2016,10,males,85+,follicular,255,140.5
2016,10,females,5–14,follicular,0,0
2016,10,females,15–24,follicular,4,0.3
2016,10,females,25–34,follicular,33,1.8
2016,10,females,35–44,follicular,181,11.1
2016,10,females,45–54,follicular,586,36.3
2016,10,females,55–64,follicular,1100,76.6
2016,10,females,65–74,follicular,1337,124.2
2016,10,females,75–84,follicular,746,123.5
2016,10,females,85+,follicular,301,98.9
2017,1,males,5–14,follicular,1,0
2017,1,males,15–24,follicular,1,0.1
2017,1,males,25–34,follicular,7,0.4
2017,1,males,35–44,follicular,38,2.3
2017,1,males,45–54,follicular,103,6.6
2017,1,males,55–64,follicular,182,13
2017,1,males,65–74,follicular,225,21
2017,1,males,75–84,follicular,118,21.8
2017,1,males,85+,follicular,32,17.2
2017,1,females,5–14,follicular,1,0
2017,1,females,15–24,follicular,1,0.1
2017,1,females,25–34,follicular,9,0.5
2017,1,females,35–44,follicular,31,1.9
2017,1,females,45–54,follicular,99,6.1
2017,1,females,55–64,follicular,155,10.6
2017,1,females,65–74,follicular,172,15.4
2017,1,females,75–84,follicular,105,16.9
2017,1,females,85+,follicular,39,12.7
2017,5,males,5–14,follicular,5,0.2
2017,5,males,15–24,follicular,14,0.9
2017,5,males,25–34,follicular,24,1.3
2017,5,males,35–44,follicular,169,10.3
2017,5,males,45–54,follicular,438,27.9
2017,5,males,55–64,follicular,699,49.9
2017,5,males,65–74,follicular,897,83.6
2017,5,males,75–84,follicular,508,94
2017,5,males,85+,follicular,143,76.9
2017,5,females,5–14,follicular,1,0
2017,5,females,15–24,follicular,2,0.1
2017,5,females,25–34,follicular,21,1.1
2017,5,females,35–44,follicular,121,7.3
2017,5,females,45–54,follicular,376,23.1
2017,5,females,55–64,follicular,632,43.1
2017,5,females,65–74,follicular,799,71.5
2017,5,females,75–84,follicular,456,73.4
2017,5,females,85+,follicular,153,49.9
2017,10,males,5–14,follicular,6,0.3
2017,10,males,15–24,follicular,17,1
2017,10,males,25–34,follicular,46,2.5
2017,10,males,35–44,follicular,263,16.1
2017,10,males,45–54,follicular,708,45
2017,10,males,55–64,follicular,1210,86.4
2017,10,males,65–74,follicular,1577,147
2017,10,males,75–84,follicular,911,168.6
2017,10,males,85+,follicular,261,140.4
2017,10,females,5–14,follicular,1,0
2017,10,females,15–24,follicular,4,0.3
2017,10,females,25–34,follicular,33,1.8
2017,10,females,35–44,follicular,185,11.2
2017,10,females,45–54,follicular,609,37.5
2017,10,females,55–64,follicular,1125,76.8
