survival_type,period,sex,age_group,years_since_dx,subtype,survival_pct,ci_lower,ci_upper
Observed,2007–2011,females,5–14,1,follicular,NA,NA,NA
Observed,2007–2011,females,15–24,1,follicular,NA,NA,NA
Observed,2007–2011,females,25–34,1,follicular,1,0.912,1
Observed,2007–2011,females,35–44,1,follicular,0.995,0.962,0.999
Observed,2007–2011,females,45–54,1,follicular,0.9910000000000002,0.976,0.997
Observed,2007–2011,females,55–64,1,follicular,0.982,0.969,0.99
Observed,2007–2011,females,65–74,1,follicular,0.966,0.947,0.978
Observed,2007–2011,females,75–84,1,follicular,0.873,0.836,0.902
Observed,2007–2011,females,85+,1,follicular,0.749,0.658,0.819
Observed,2007–2011,females,5–14,2,follicular,NA,NA,NA
Observed,2007–2011,females,15–24,2,follicular,NA,NA,NA
Observed,2007–2011,females,25–34,2,follicular,1,0.914,1
Observed,2007–2011,females,35–44,2,follicular,0.9840000000000002,0.951,0.995
Observed,2007–2011,females,45–54,2,follicular,0.974,0.954,0.9860000000000002
Observed,2007–2011,females,55–64,2,follicular,0.965,0.948,0.977
Observed,2007–2011,females,65–74,2,follicular,0.941,0.917,0.958
Observed,2007–2011,females,75–84,2,follicular,0.813,0.771,0.848
Observed,2007–2011,females,85+,2,follicular,0.607,0.509,0.691
Observed,2007–2011,females,5–14,3,follicular,NA,NA,NA
Observed,2007–2011,females,15–24,3,follicular,NA,NA,NA
Observed,2007–2011,females,25–34,3,follicular,1,0.915,1
Observed,2007–2011,females,35–44,3,follicular,0.9840000000000002,0.951,0.995
Observed,2007–2011,females,45–54,3,follicular,0.958,0.934,0.973
Observed,2007–2011,females,55–64,3,follicular,0.944,0.924,0.96
Observed,2007–2011,females,65–74,3,follicular,0.901,0.871,0.924
Observed,2007–2011,females,75–84,3,follicular,0.763,0.718,0.802
Observed,2007–2011,females,85+,3,follicular,0.481,0.383,0.571
Observed,2007–2011,females,5–14,4,follicular,NA,NA,NA
Observed,2007–2011,females,15–24,4,follicular,NA,NA,NA
Observed,2007–2011,females,25–34,4,follicular,0.972,0.817,0.996
Observed,2007–2011,females,35–44,4,follicular,0.973,0.937,0.9890000000000002
