effect,value,rr,rr_p025,rr_p975,subtype,sex,tier
age,9.5,1.3815940800963475,1.2690190442246485,1.5007862207907636,nhl,males,agg
age,19.5,2.643089230858979,2.4732445254772903,2.817124445373583,nhl,males,agg
age,29.5,5.055674459032577,4.817099736179118,5.290718715696623,nhl,males,agg
age,39.5,9.675894626909049,9.373375881075615,9.957271793194204,nhl,males,agg
age,49.5,18.746800414658203,18.386776457449837,19.12618708604086,nhl,males,agg
age,59.5,39.289209270354505,38.820205740552304,39.81081509608257,nhl,males,agg
age,69.5,85.02626764151448,83.6808081329488,86.31007289840264,nhl,males,agg
age,79.5,134.1258984869247,131.7185398518215,136.46455840623486,nhl,males,agg
age,90,197.62113788087885,192.01785417652928,204.02979119561812,nhl,males,agg
period,1990,1.0004592798858833,0.9791919883870044,1.0215498412151596,nhl,males,agg
period,1991,1.0011624707238902,0.9837686892266745,1.0182709830260057,nhl,males,agg
period,1992,1.0018510338309874,0.9877788420238359,1.015446314072135,nhl,males,agg
period,1993,1.0024937640959286,0.9921044460779525,1.0126382021823945,nhl,males,agg
period,1994,1.003163537007588,0.9960002981536339,1.0104307111667867,nhl,males,agg
period,1995,1.0038616123787087,0.998816452462222,1.0085981135662565,nhl,males,agg
period,1996,1.0045384418392564,0.9994556863823372,1.0096549069742033,nhl,males,agg
period,1997,1.0050009543125484,0.9979994647648935,1.012108787485778,nhl,males,agg
period,1998,1.0054819720703279,0.9959250871749232,1.0149105116346793,nhl,males,agg
period,1999,1.0053608098312026,0.9936123794331773,1.0169922234155928,nhl,males,agg
period,2000,1.0046555267555042,0.9913517744877017,1.0185367283598787,nhl,males,agg
period,2001,1.003483046912811,0.9890520445923232,1.0184660263602,nhl,males,agg
period,2002,1.0014864924217513,0.9869700319349695,1.0166398203413447,nhl,males,agg
period,2003,0.9987949312844853,0.9848408285826745,1.0129114004119613,nhl,males,agg
period,2004,0.9952249651632972,0.9822314530539635,1.0077605600251716,nhl,males,agg
period,2005,0.9911569458788113,0.9792493012101148,1.0026158826267728,nhl,males,agg
period,2006,0.9874589644586422,0.9754696711085595,0.9990852048621984,nhl,males,agg
period,2007,0.9843212048200528,0.9717997205559754,0.9974574883675316,nhl,males,agg
period,2008,0.9827275740460709,0.9688578828672193,0.9976826442307862,nhl,males,agg
period,2009,0.9829783775400776,0.9677272797058516,0.9989137816542729,nhl,males,agg
period,2010,0.9857537700899451,0.9709414397957654,1.0009677964376498,nhl,males,agg
period,2011,0.9916947134500742,0.9783152799631356,1.0047397114880212,nhl,males,agg
period,2012,0.9991232610716647,0.9875786124493892,1.0099793722417811,nhl,males,agg
period,2013,1.0066901829042716,0.9954088913822621,1.0180070148538485,nhl,males,agg
period,2014,1.0130995453674339,1.0003468950475725,1.0263314248253506,nhl,males,agg
period,2015,1.0168057059395448,1.0034263010249695,1.0309405269935503,nhl,males,agg
period,2016,1.016669433524811,1.004683653555859,1.0293571497180816,nhl,males,agg
period,2017,1.0132531038333317,1.0034002930140695,1.0229593140598865,nhl,males,agg
period,2018,1.0079741630809047,1.0000480475410463,1.0154923320188947,nhl,males,agg
period,2019,1.0014387822175639,0.9920368623700776,1.010951711851131,nhl,males,agg
period,2020,0.9946590699888068,0.9811978025534525,1.0094554333901573,nhl,males,agg
period,2021,0.9880199095481188,0.9691131072786192,1.0086034850643486,nhl,males,agg
cohort,1900,0.5571900708052157,0.5253027789650709,0.5898288597545686,nhl,males,agg
cohort,1901,0.5654717372404672,0.5343418236415006,0.597412536357919,nhl,males,agg
cohort,1902,0.573917787141556,0.5435926962964444,0.6051757000509157,nhl,males,agg
cohort,1903,0.582509200057207,0.5530364614494333,0.6129378914158091,nhl,males,agg
