year,sex,p005,p025,p100,p250,p500,p750,p900,p975,p995
2012,males,2534.393868947623,2538.8901028746927,2543.179006249285,2547.474664750281,2551.6311476767123,2555.878768482068,2559.7188150168267,2564.189171880465,2567.426322778711
2013,males,2599.962264383221,2605.727147700553,2610.7884077220915,2614.884394578836,2619.1399149273525,2623.327384695899,2627.662732619013,2632.5508640629114,2635.412089550793
2014,males,2656.096536959054,2660.9637493035475,2665.32740406412,2668.8187398721875,2673.420297579988,2677.5596999133822,2681.6034999735766,2685.8226505565194,2688.9697994888515
2015,males,2708.9287136921434,2712.6362741524686,2716.8664531181985,2720.6591002644072,2725.4324937370475,2729.6438005689497,2733.416344061911,2738.0150706500835,2740.285361025249
2016,males,2784.7012210841303,2789.042715480766,2794.92180214807,2799.0580857519126,2803.745197403122,2808.252666416653,2812.0464846018263,2816.155320457163,2818.843277632982
2017,males,2908.4116164760135,2914.4957306709907,2919.6249918721596,2923.4577297275546,2927.6731457883952,2932.0172065265256,2935.7898901712397,2939.6922092516093,2942.6062229423123
2018,males,3050.1712824894216,3055.1538115906674,3060.21868621802,3063.9086255656207,3068.6208620240404,3072.993727907373,3077.6396456006273,3081.9439428995474,3085.722191795491
2019,males,3189.4705503194446,3194.7869440276777,3199.199493254019,3203.4057447560426,3208.296551062326,3213.0521319070945,3217.31221106269,3223.0805703769,3226.5645260254623
2020,males,3388.328790404208,3392.2065462992136,3397.2996812891233,3402.025945963419,3406.5603861312084,3411.171345667642,3415.6901591398737,3419.91221339492,3423.4309857605203
2021,males,3476.856244939254,3482.8395683225895,3487.489843548225,3492.2430271060525,3497.0224140644827,3501.813431739508,3506.8372835499267,3511.0699245110263,3514.9873350723515
2022,males,3527.3715056129577,3539.4327535601506,3554.902696487948,3568.0744059657995,3583.3975739377593,3599.327174323944,3615.404313781643,3630.907585514041,3641.500932936919
2023,males,3598.7170034007595,3626.179587793938,3652.939960979901,3676.52760429714,3705.2702205197006,3734.2561670873883,3767.429535512572,3796.8401350983127,3821.8973986760657
2024,males,3638.7516604741104,3678.172756180973,3719.2801851828362,3752.2343268577006,3794.2096468418536,3838.466282626891,3887.541641280092,3927.2436843701753,3968.265161956897
2025,males,3633.896507349495,3684.2629292577008,3737.130587099609,3779.5984145229163,3835.872689910505,3893.0555112495185,3960.241755054406,4012.1422895438814,4063.118311831469
2026,males,3706.724464927619,3766.054950982264,3832.672073661061,3885.543745597365,3957.74709311605,4027.3258317854297,4111.4649130023,4178.901394950466,4239.6448325970405
2027,males,3785.9010620774434,3857.948153840275,3921.3530340445727,3978.592243611844,4055.4601597131373,4127.519724533044,4207.633206082419,4279.749606188606,4342.755195056292
2028,males,3878.5699468506277,3939.486773153987,4004.446403125677,4065.723068074413,4148.274914836908,4227.266743993681,4304.825262990667,4378.286354562331,4457.075955153546
2029,males,3941.1403723278095,4009.810573154225,4083.7806271536074,4148.409134469745,4234.920424048034,4323.2888344417415,4395.998996804491,4483.68413281018,4567.132797625538
2030,males,4005.7367549715605,4074.4077518242043,4155.796928942331,4226.408708544247,4315.060923227778,4411.210101719754,4486.216082569993,4572.688482817053,4671.243095334603
2031,males,4068.9835076128516,4135.416016533029,4218.902475519901,4295.47413321474,4387.656460175884,4491.630177080983,4569.517086631677,4660.497925820314,4772.6786796123515
2032,males,4117.511101272644,4189.166400028647,4278.032416706389,4356.759914772927,4453.924582639918,4566.519280477256,4642.786030579086,4744.744934256289,4866.8601877777255
2033,males,4144.262198334458,4234.545976797526,4327.37515538323,4406.268330928619,4511.4944347037,4628.583151778135,4710.058376642829,4817.899355013718,4953.248236826136
2034,males,4168.922395417477,4268.9677509681615,4366.700589150891,4449.151545176607,4564.144255606925,4683.296780582838,4773.585491440584,4884.378698461667,5031.777585271219
2035,males,4184.337924092513,4293.191651195212,4395.54318175164,4485.751375934645,4610.429840844801,4731.901644637484,4828.714161256176,4948.791746072272,5102.848766605391
2036,males,4189.311834367798,4308.6021063931785,4420.798019230492,4515.594424369346,4643.829577071105,4772.380567349168,4878.425746831756,5003.224235428871,5165.601393714884
2037,males,4199.681108333105,4324.606486084533,4444.7116809279605,4540.898339796193,4676.560606514313,4811.608072266577,4921.987587800832,5053.951405006483,5225.149659446762
2038,males,4205.90210604901,4331.148819080817,4464.229543095435,4561.793259420575,4705.499973168176,4846.705096438698,4961.167803679644,5100.033275924668,5279.992730241872
2039,males,4199.753244595999,4337.79208295521,4472.454825917991,4578.248930333439,4728.017823126203,4875.495652675554,4994.718224882761,5139.4341642124755,5328.2189534437575
2040,males,4187.323829189911,4334.3069940075,4475.475258739699,4583.410495198959,4741.123579787225,4892.762471956612,5021.162637721493,5170.864277390051,5368.915135563746
2041,males,4174.077985041205,4322.358999215832,4471.654502191587,4582.799125385387,4743.210092224252,4902.826862019483,5041.944964395412,5197.3005546872055,5400.707376199992
2042,males,4155.6577534667185,4298.044765170376,4455.460959531026,4575.382716278233,4739.60829923406,4909.437542596057,5055.551387148744,5219.9833480163425,5425.175512642627
2043,males,4133.252306471058,4271.263376961618,4438.075059869236,4562.940479338613,4730.834038272273,4907.318425657986,5055.751760976749,5225.607701857718,5443.1145869538295
2044,males,4108.547237475905,4237.20251767898,4411.498561216198,4545.605244951742,4718.592382204633,4898.238595265644,5056.803909653592,5236.298454178732,5456.423461995593
2045,males,4082.6607436661166,4203.774510413475,4386.152010508845,4523.694349247803,4704.9520251702115,4889.193300350364,5053.6037088652065,5236.313832234615,5466.684042893468
