year,cases_obs,asr_obs,subtype,sex,tier
1982,736,12.69387431739855,nhl,males,agg
1983,751,12.525259737241392,nhl,males,agg
1984,835,14.306777744516706,nhl,males,agg
1985,908,14.755115437639114,nhl,males,agg
1986,942,15.154147844938853,nhl,males,agg
1987,1075,16.840718181154877,nhl,males,agg
1988,1066,15.944146317346478,nhl,males,agg
1989,1142,17.100314214028586,nhl,males,agg
1990,1260,18.241055682887094,nhl,males,agg
1991,1317,18.717078915187,nhl,males,agg
1992,1428,19.78564583823796,nhl,males,agg
1993,1478,19.946132036546583,nhl,males,agg
1994,1445,19.042868031935427,nhl,males,agg
1995,1468,18.775220546884142,nhl,males,agg
1996,1623,20.573015220303937,nhl,males,agg
1997,1632,20.370347263338346,nhl,males,agg
1998,1631,19.709401910061835,nhl,males,agg
1999,1697,20.105002892721117,nhl,males,agg
2000,1811,20.876878698233615,nhl,males,agg
2001,1860,20.768227535630306,nhl,males,agg
2002,1950,21.37964935178972,nhl,males,agg
2003,2027,21.597388934723966,nhl,males,agg
2004,2082,21.747008737941027,nhl,males,agg
2005,2069,21.052935830941145,nhl,males,agg
2006,2151,21.354284478913918,nhl,males,agg
2007,2177,21.078492916939975,nhl,males,agg
2008,2231,21.014432958634018,nhl,males,agg
2009,2383,21.982055804986015,nhl,males,agg
2010,2478,22.06305966457981,nhl,males,agg
2011,2608,22.739308553497604,nhl,males,agg
2012,2750,23.306508661424676,nhl,males,agg
2013,2779,22.951588077049895,nhl,males,agg
2014,2872,23.18135656858255,nhl,males,agg
2015,2879,22.730627398528384,nhl,males,agg
2016,3044,23.39405065057763,nhl,males,agg
2017,3251,24.137408165562128,nhl,males,agg
2018,3267,23.68784906009881,nhl,males,agg
2019,3366,23.758084182107897,nhl,males,agg
2020,3528,24.1863588312969,nhl,males,agg
2021,3365,22.612389042473563,nhl,males,agg
2022,3626,0,nhl,males,agg
2023,3727,0,nhl,males,agg
2024,3837,0,nhl,males,agg
2025,3945,0,nhl,males,agg
1982,687,10.157876185079097,nhl,females,agg
1983,691,9.991270032120415,nhl,females,agg
1984,741,10.439403284794473,nhl,females,agg
1985,761,10.51271924718714,nhl,females,agg
1986,785,10.555884857799576,nhl,females,agg
1987,903,11.911008473486342,nhl,females,agg
1988,888,11.309998895850226,nhl,females,agg
1989,964,12.118808049193532,nhl,females,agg
1990,979,12.057976355719285,nhl,females,agg
1991,1089,13.038926105823077,nhl,females,agg
1992,1152,13.582867696061989,nhl,females,agg
1993,1149,13.299886669867565,nhl,females,agg
1994,1238,14.09811969076289,nhl,females,agg
1995,1336,14.881355204953412,nhl,females,agg
1996,1337,14.540542068374162,nhl,females,agg
1997,1389,14.729077743820152,nhl,females,agg
1998,1387,14.365532883210353,nhl,females,agg
1999,1485,14.989131787534607,nhl,females,agg
2000,1557,15.378555538212936,nhl,females,agg
2001,1522,14.737699629762723,nhl,females,agg
2002,1625,15.436721725640535,nhl,females,agg
2003,1588,14.69060932778113,nhl,females,agg
2004,1624,14.75951024938185,nhl,females,agg
2005,1780,15.784056771107167,nhl,females,agg
2006,1681,14.66025804291692,nhl,females,agg
2007,1775,15.01630554123069,nhl,females,agg
2008,1814,15.134255376685381,nhl,females,agg
2009,1868,15.217359662765894,nhl,females,agg
2010,1888,15.033213181832878,nhl,females,agg
2011,1929,14.947841502265833,nhl,females,agg
2012,2051,15.620294227613735,nhl,females,agg
2013,2057,15.262920263091164,nhl,females,agg
2014,2269,16.355174641283586,nhl,females,agg
2015,2209,15.585860155187198,nhl,females,agg
2016,2293,15.753557337846763,nhl,females,agg
2017,2370,15.893446795690526,nhl,females,agg
2018,2397,15.556756154152763,nhl,females,agg
2019,2450,15.494375238770767,nhl,females,agg
2020,2688,16.67460557800233,nhl,females,agg
2021,2590,15.684890980089069,nhl,females,agg
2022,2721,0,nhl,females,agg
2023,2803,0,nhl,females,agg
2024,2887,0,nhl,females,agg
2025,2975,0,nhl,females,agg
1982,202,2.82577291238815,hodgkin,males,agg
1983,204,2.7419108971661936,hodgkin,males,agg
1984,185,2.5619937062801195,hodgkin,males,agg
1985,177,2.2805669305867293,hodgkin,males,agg
1986,185,2.480282693060681,hodgkin,males,agg
1987,182,2.4100353390607565,hodgkin,males,agg
1988,210,2.659793822774609,hodgkin,males,agg
1989,189,2.3388284084675317,hodgkin,males,agg
1990,217,2.6255641890192254,hodgkin,males,agg
1991,173,2.01626205253948,hodgkin,males,agg
1992,192,2.2521989563856715,hodgkin,males,agg
1993,195,2.252472322656149,hodgkin,males,agg
1994,199,2.315289340136724,hodgkin,males,agg
1995,185,2.107011143072688,hodgkin,males,agg
1996,225,2.5240785324352597,hodgkin,males,agg
1997,207,2.281355105444665,hodgkin,males,agg
1998,217,2.3521129978484114,hodgkin,males,agg
1999,238,2.5852219797774505,hodgkin,males,agg
2000,235,2.5040523556945113,hodgkin,males,agg
2001,223,2.328474286017463,hodgkin,males,agg
2002,266,2.774232599315084,hodgkin,males,agg
2003,251,2.5824698907036576,hodgkin,males,agg
2004,247,2.511641936892164,hodgkin,males,agg
2005,284,2.841520076157019,hodgkin,males,agg
2006,278,2.7456795002682424,hodgkin,males,agg
2007,291,2.8072303331523134,hodgkin,males,agg
2008,305,2.8549876823214673,hodgkin,males,agg
2009,296,2.7212718689101187,hodgkin,males,agg
2010,327,2.9627869434496366,hodgkin,males,agg
2011,340,3.0224866447049576,hodgkin,males,agg
2012,389,3.397543209974349,hodgkin,males,agg
2013,341,2.894370233781226,hodgkin,males,agg
2014,353,3.0011180769298993,hodgkin,males,agg
2015,388,3.234951352496846,hodgkin,males,agg
2016,351,2.8780989365214347,hodgkin,males,agg
2017,404,3.225862634463042,hodgkin,males,agg
2018,386,3.050295551668081,hodgkin,males,agg
2019,390,3.015526381254427,hodgkin,males,agg
2020,436,3.3325360464765894,hodgkin,males,agg
2021,418,3.17407342526307,hodgkin,males,agg
2022,421,0,hodgkin,males,agg
2023,434,0,hodgkin,males,agg
2024,445,0,hodgkin,males,agg
2025,453,0,hodgkin,males,agg
1982,126,1.613362207871168,hodgkin,females,agg
1983,126,1.629637012670955,hodgkin,females,agg
1984,139,1.8467302415240476,hodgkin,females,agg
1985,110,1.396289436065034,hodgkin,females,agg
1986,138,1.713745386362425,hodgkin,females,agg
