P,cases_mid,cases_p025,cases_p975,asr_mid,asr_p025,asr_p975,subtype,sex,tier
2022,3583.6771570139676,3506.7033407453987,3663.0591280143612,23.4588244743273,22.94608567850255,23.97578983771704,nhl,males,agg
2023,3705.105879802247,3629.7637111107183,3784.0429516122786,23.535006934405935,23.048225195663093,24.03735411534813,nhl,males,agg
2024,3821.6338284470285,3748.2962133919655,3901.487923090668,23.595395047032085,23.12003963677034,24.09165463433692,nhl,males,agg
2025,3939.8953529877876,3865.0755506873147,4020.1860579831837,23.646277928141792,23.190209088547743,24.128524986993735,nhl,males,agg
2026,4062.787720864175,3985.3806375602753,4144.555959330062,23.68635967100744,23.243627660582696,24.16496761738987,nhl,males,agg
2027,4182.243334750054,4104.069810059979,4266.599146093941,23.71168020216733,23.27276368851573,24.214630774892107,nhl,males,agg
2028,4298.700081314276,4215.483007290582,4387.973915224328,23.72852211556657,23.27993317564597,24.233674515900844,nhl,males,agg
2029,4409.424970693015,4323.434880026353,4500.08333146416,23.731140062154715,23.283401404975653,24.245549964584598,nhl,males,agg
2030,4513.23198479604,4426.63792729971,4608.462209918075,23.72662489506687,23.264143426896425,24.24322532656772,nhl,males,agg
2031,4612.753505329911,4521.49705728493,4712.2881444126815,23.704077139569485,23.228187282859956,24.239856513147195,nhl,males,agg
2032,4713.353124745197,4614.778829617598,4817.532235529284,23.683033569807673,23.19279434379079,24.230871972607957,nhl,males,agg
2033,4808.556446600907,4707.152497495494,4920.2077968910025,23.649986855265112,23.146989819584437,24.21178869630426,nhl,males,agg
2034,4903.294116995169,4793.818035301294,5020.595847350755,23.60592515769187,23.09159627624153,24.188014799949407,nhl,males,agg
2035,4993.78324756666,4878.781387310952,5118.1027664494495,23.54886537177923,23.02366894820526,24.161197027209514,nhl,males,agg
2036,5088.786084475108,4968.992969616632,5219.678046111756,23.48361212847263,22.940436236561922,24.125402318675274,nhl,males,agg
2037,5176.852382904077,5051.459572461762,5315.300993566758,23.414970279808127,22.845493556125117,24.081431014615244,nhl,males,agg
2038,5258.569564409568,5129.155715480509,5406.043617114919,23.333168539605907,22.743631771749694,24.02967994608533,nhl,males,agg
2039,5331.113592216775,5197.483419332977,5485.33728358,23.243275484014116,22.633547113231987,23.970400695605633,nhl,males,agg
2040,5395.461476962086,5254.194598809206,5556.8702467047415,23.150744156976216,22.515143866962852,23.90079253740666,nhl,males,agg
