year,prev_mid,prev_p025,prev_p975,prev_mean,duration,subtype,sex
2012,1604.1658526232068,1591.185237777533,1615.3598546451906,1604.030107439057,2,dlbcl,males
2013,1658.6184876248058,1640.9754650191064,1675.426973084121,1658.2031936657067,2,dlbcl,males
2014,1662.8660448603077,1645.9613585745647,1678.004140084818,1662.3017543697417,2,dlbcl,males
2015,1683.3253450872048,1666.3555595964513,1698.524857151584,1682.8944483026298,2,dlbcl,males
2016,1729.8275225265616,1710.5498795126355,1747.5936440857872,1729.499653421054,2,dlbcl,males
2017,1775.465676394129,1760.3472345890475,1788.2259328877633,1775.1001322708933,2,dlbcl,males
2018,1857.9227919864245,1842.454693150264,1873.451561052804,1857.7975703786599,2,dlbcl,males
2019,1918.888133865842,1901.3150750433829,1936.52176637857,1918.7696185100162,2,dlbcl,males
2020,1984.7983742780555,1965.3003636906162,2005.4874698906033,1984.6662534216077,2,dlbcl,males
2021,2032.1040668070727,2009.5058332044232,2055.605592962457,2032.1670284425809,2,dlbcl,males
2022,2062.613435345341,2006.9174243685818,2118.217893901635,2061.9630220335034,2,dlbcl,males
2023,2137.5347697032603,2038.22512456151,2236.565918354426,2137.272796344901,2,dlbcl,males
2024,2199.2142355936403,2098.9836644761776,2302.8985438417067,2199.5270155867693,2,dlbcl,males
2025,2259.983512919092,2157.7149802893655,2365.349751260234,2260.7751462687615,2,dlbcl,males
2026,2322.8461547175366,2215.8371427650877,2437.0978604768056,2324.035293271926,2,dlbcl,males
2027,2386.285708008286,2274.3818756631345,2513.1065301222284,2388.600997783277,2,dlbcl,males
2028,2447.255704311271,2330.029894396541,2589.042375055183,2451.611482629185,2,dlbcl,males
2029,2508.1959219443697,2382.5521299802585,2657.9043748509803,2512.1246926200806,2,dlbcl,males
2030,2565.054245919673,2432.069413375163,2723.1948340374415,2568.7757221182233,2,dlbcl,males
2031,2619.1609810040545,2475.018855164017,2786.504298803595,2621.689595395139,2,dlbcl,males
2032,2665.0240470338895,2508.0884603627455,2843.6630100218767,2667.3396736039135,2,dlbcl,males
