scenario,year,subtype,sex,duration,prev_mid,prev_p025,prev_p975,prev_mean
base,2012,dlbcl,males,2,1604.0509960214936,1591.8911345987112,1615.7678267132621,1603.966006830916
base,2013,dlbcl,males,2,1658.0362693979705,1640.3857117264902,1675.926230135561,1658.086604283667
base,2014,dlbcl,males,2,1661.960030221171,1645.9172222728855,1679.785362702078,1662.2617665954074
base,2015,dlbcl,males,2,1682.757257210153,1666.0532632772288,1700.3091201842074,1682.9351718231585
base,2016,dlbcl,males,2,1729.5286152261083,1710.3917722539836,1749.1145936122773,1729.6349765918796
base,2017,dlbcl,males,2,1775.5702325106956,1761.715780021373,1789.2025491740442,1775.446651168066
base,2018,dlbcl,males,2,1858.7694459455508,1843.317344734902,1872.552430450885,1858.3825719600013
base,2019,dlbcl,males,2,1919.8953049469173,1902.4257915089413,1936.2683656055087,1919.4521423981894
base,2020,dlbcl,males,2,1985.9778508729335,1965.615403898044,2004.643223880435,1985.5035445749143
base,2021,dlbcl,males,2,2033.4780007462423,2009.8489789763933,2055.805271330046,2033.1767156021485
base,2022,dlbcl,males,2,2062.823512597484,2009.1394998158548,2116.371329942863,2063.7069547075366
base,2023,dlbcl,males,2,2139.8905549783494,2044.6886694238701,2236.9383327141786,2139.7705861067516
base,2024,dlbcl,males,2,2200.8142511804353,2105.079993206548,2302.4930636110153,2202.3180964888656
base,2025,dlbcl,males,2,2262.411192915519,2165.186439800395,2369.3438396706747,2263.8652803524456
base,2026,dlbcl,males,2,2324.9148573296206,2218.5774452164687,2439.830195880956,2327.4025348116043
base,2027,dlbcl,males,2,2389.3315684765407,2272.272980533019,2512.260486417977,2392.217801190662
base,2028,dlbcl,males,2,2452.2820057137073,2328.4757743317805,2589.4224878681553,2455.462011798256
base,2029,dlbcl,males,2,2511.959761385666,2380.3086212142825,2662.173919066183,2516.2065818514334
base,2030,dlbcl,males,2,2567.58106999135,2425.626854652117,2727.5634411448914,2573.1190069192994
base,2031,dlbcl,males,2,2621.4224460387813,2466.725890158556,2789.040403298929,2626.3507796049535
base,2032,dlbcl,males,2,2668.8937489879086,2501.8107431769226,2848.417357463773,2673.2459252382196
base,2033,dlbcl,males,2,2705.3922638331314,2529.9534649928346,2897.8165910611983,2709.539290511048
base,2034,dlbcl,males,2,2738.107563807133,2554.4934388552033,2944.4754852295655,2743.203387883505
base,2035,dlbcl,males,2,2768.8525675257056,2577.6224991535582,2989.3176324355873,2775.197463715194
base,2036,dlbcl,males,2,2799.3869504947525,2600.161163368386,3034.1963013489444,2807.3140763010274
base,2037,dlbcl,males,2,2829.0961023124964,2619.980802551232,3074.9494031967356,2838.8154580596456
base,2038,dlbcl,males,2,2856.422440459597,2636.1357042743434,3115.3640839245077,2867.0459996890554
base,2039,dlbcl,males,2,2880.1082076398484,2652.3111080317894,3147.6404359545822,2891.016391838614
base,2040,dlbcl,males,2,2898.280610262026,2661.705240248508,3181.192719759892,2910.3419898135317
base,2041,dlbcl,males,2,2913.971885048735,2666.176737439819,3209.7062901544314,2925.3776302999245
base,2042,dlbcl,males,2,2925.357537002913,2668.358276995437,3234.249903178283,2938.3780750917213
base,2043,dlbcl,males,2,2937.9479491640027,2673.925025475944,3255.5404153194954,2949.9391802851155
base,2044,dlbcl,males,2,2947.329027916896,2676.7737290603227,3281.0774775190184,2959.8021116505683
base,2045,dlbcl,males,2,2956.8879934987544,2673.528453580516,3302.5210244808677,2968.638060454278
base,2012,dlbcl,males,3,2213.23858768141,2196.723977118686,2229.1842233691095,2213.009737263484
base,2013,dlbcl,males,3,2304.2828480520648,2283.3119857163665,2325.618960367938,2304.3810043146927
base,2014,dlbcl,males,3,2360.512910797991,2340.581718616428,2381.61831431824,2360.684813674523
base,2015,dlbcl,males,3,2379.096437084964,2359.194481144197,2400.1933629887103,2379.405750925186
