subtype,sex,cases_2021,asr_2021,cases_2045,cases_2045_p025,cases_2045_p975,asr_2045,asr_2045_p025,asr_2045_p975,pct_change_cases,pct_change_cases_p025,pct_change_cases_p975,pct_change_asr,pct_change_asr_p025,pct_change_asr_p975
nhl,males,3365,22.61,5655,5479,5860,22.65,21.91,23.51,68,62.8,74.1,0.2,-3.1,4
nhl,females,2590,15.68,4411,4234,4606,16.04,15.27,16.79,70.3,63.5,77.9,2.2,-2.6,7.1
hodgkin,males,418,3.17,696,648,746,3.65,3.39,3.91,66.4,55,78.4,15.1,6.9,23.3
hodgkin,females,362,2.73,524,484,571,2.76,2.55,2.99,44.7,33.8,57.8,0.8,-6.7,9.5
dlbcl,males,1202,8.07,1808,1653,1985,7.03,6.39,7.8,50.4,37.5,65.1,-12.8,-20.8,-3.4
dlbcl,females,944,5.64,1389,1238,1568,5.02,4.41,5.76,47.2,31.1,66.1,-11,-21.9,2.2
follicular,males,756,5.11,1015,910,1139,4.13,3.68,4.68,34.3,20.4,50.6,-19.2,-27.9,-8.4
follicular,females,600,3.71,679,603,761,2.42,2.14,2.72,13.1,0.5,26.9,-34.8,-42.3,-26.6
mantle_cell,males,189,1.25,401,316,526,1.46,1.13,1.94,112.3,67.4,178.2,17.2,-9.2,55.4
mantle_cell,females,75,0.42,200,130,317,0.65,0.4,1.08,167.1,73.1,323,52.9,-5.5,154.1
total,males,3783,25.78,6350,6163,6572,26.31,25.52,27.26,67.9,62.9,73.7,2,-1,5.7
total,females,2952,18.42,4935,4759,5135,18.8,18.04,19.64,67.2,61.2,73.9,2.1,-2.1,6.6
