subtype,sex,duration,prev_2021,prev_2021_p025,prev_2021_p975,prev_2045,prev_2045_p025,prev_2045_p975,pct_change,pct_change_p025,pct_change_p975
dlbcl,females,2,1539,1519,1558,2323,2060,2635,51,33.8,70.6
dlbcl,males,2,2033,2010,2056,2957,2674,3303,45.4,32.1,61.6
follicular,females,2,1263,1255,1270,1344,1189,1505,6.5,-5.7,19
follicular,males,2,1544,1534,1551,1997,1783,2242,29.5,15.6,44.6
hodgkin,females,2,656,648,662,966,888,1054,47.2,35.8,60.7
hodgkin,males,2,801,791,809,1260,1161,1364,57.4,46.1,70
mantle_cell,females,2,141,135,146,352,225,561,148.9,61.6,293.3
mantle_cell,males,2,387,378,394,679,530,897,75.7,36.3,133.2
nhl,females,2,4701,4670,4730,8084,7738,8464,71.9,64.8,79.6
nhl,males,2,6087,6052,6118,10044,9690,10447,65.1,59.6,71.4
total,females,2,5356,5324,5387,9051,8685,9433,68.9,62.6,75.9
total,males,2,6887,6852,6919,11306,10936,11741,64.2,59.1,70.2
dlbcl,females,3,2165,2143,2188,3329,2960,3774,53.6,36.8,73.9
dlbcl,males,3,2847,2819,2871,4224,3846,4685,48.4,35.4,63.9
follicular,females,3,1805,1797,1814,1991,1769,2221,10.4,-2,23.1
follicular,males,3,2248,2237,2258,2948,2648,3308,31.2,17.6,47
hodgkin,females,3,952,943,959,1415,1304,1544,48.6,37.3,62
hodgkin,males,3,1153,1143,1163,1848,1706,1991,60.3,48.6,72.3
mantle_cell,females,3,194,188,200,505,327,790,159.4,69,310.6
mantle_cell,males,3,573,563,583,988,769,1303,72.1,33.6,125.8
nhl,females,3,6657,6622,6691,11756,11243,12266,76.6,69,84.3
nhl,males,3,8714,8677,8750,14463,13985,15013,66,60.7,72.1
total,females,3,7609,7571,7644,13170,12638,13713,73.1,66.3,80.2
total,males,3,9868,9828,9905,16303,15824,16929,65.3,60.5,71.2
dlbcl,females,5,3199,3172,3227,5142,4595,5846,60.7,43.8,81.6
dlbcl,males,5,4284,4251,4314,6462,5903,7105,50.9,37.9,65.6
follicular,females,5,2872,2860,2883,3262,2916,3639,13.6,1.4,26.7
follicular,males,5,3497,3483,3511,4690,4213,5250,34.1,20.4,50
hodgkin,females,5,1475,1465,1484,2327,2143,2533,57.8,45.5,71.8
hodgkin,males,5,1835,1823,1846,2976,2750,3207,62.1,50.6,74.5
mantle_cell,females,5,306,298,314,819,541,1275,166.4,77.2,313.7
mantle_cell,males,5,855,842,867,1528,1187,1990,78.7,38.5,130.8
nhl,females,5,10166,10125,10206,18483,17701,19263,81.8,74.2,89.4
nhl,males,5,13311,13268,13357,22357,21650,23167,67.9,62.6,73.9
total,females,5,11641,11598,11681,20810,19998,21629,78.7,72.1,85.6
total,males,5,15146,15100,15192,25338,24596,26219,67.3,62.4,73
dlbcl,females,10,5321,5224,5432,8908,7944,10052,67.6,49,89.6
dlbcl,males,10,7053,6933,7191,10891,9925,12064,54.5,40,71
follicular,females,10,5013,4947,5076,6379,5659,7090,27.5,12.8,41.9
follicular,males,10,5850,5773,5920,8546,7651,9571,46,30.4,64.4
hodgkin,females,10,2724,2683,2764,4374,4002,4776,60.6,46.8,75.2
hodgkin,males,10,3283,3232,3332,5476,5071,5940,66.9,54.3,81.2
mantle_cell,females,10,495,457,532,1390,888,2163,179.5,81.3,336.9
mantle_cell,males,10,1196,1154,1242,2660,2064,3464,122.2,71.3,189.5
nhl,females,10,17081,16918,17259,32559,31045,34088,90.6,81.7,99.4
nhl,males,10,21661,21457,21854,38343,36942,39870,77.1,70.4,84.2
total,females,10,19806,19639,19987,36958,35379,38499,86.5,78.7,94.7
total,males,10,24945,24738,25139,43795,42369,45552,75.7,69.8,82.5
dlbcl,females,40,9867,8250,11936,18616,16070,21615,88.6,41.4,151.7
dlbcl,males,40,12288,10533,14631,22006,19434,24935,79.3,37.7,127.2
follicular,females,40,9373,8315,10672,18049,16065,19993,91.7,58.3,127.1
follicular,males,40,11222,9889,13004,20759,18335,23300,84.8,49.1,123.9
hodgkin,females,40,6201,5383,6900,11851,10869,12924,91.9,64.9,126.7
hodgkin,males,40,7307,6301,8349,13990,12685,15375,91.8,59,130
mantle_cell,females,40,707,537,1022,2233,1326,3579,217.2,46,509.3
mantle_cell,males,40,1518,1347,1886,4786,3628,6414,214.2,106.6,340.3
nhl,females,40,30166,27461,33622,67940,63134,73269,125.3,92.5,158.6
nhl,males,40,35646,32714,39226,77294,72446,82832,117.4,89.1,146.4
total,females,40,36333,33479,39996,79831,74948,85298,119.4,92.3,147.4
total,males,40,42960,39792,46576,91281,86254,97054,112.8,89.1,137.4
