subtype,sex,duration,year,prev_mid,prev_p025,prev_p975,pct_change
dlbcl,females,2,2021,1539.2191363627257,1518.6411442476053,1560.1499347563852,0
dlbcl,females,2,2030,1892.8560021741705,1771.5082277952404,2025.3779944200178,23
dlbcl,females,2,2040,2199.879481061614,1983.3418941027012,2431.2877695008006,42.9
dlbcl,females,2,2045,2314.5976946120354,2042.352691889942,2628.015497290019,50.4
dlbcl,males,2,2021,2032.1040668070727,2009.5058332044232,2055.605592962457,0
dlbcl,males,2,2030,2565.054245919673,2432.069413375163,2723.1948340374415,26.2
dlbcl,males,2,2040,2893.1069775201368,2654.2146825114587,3178.232903682531,42.4
dlbcl,males,2,2045,2932.613907296146,2648.5563956400306,3304.6666256148183,44.3
dlbcl,persons,2,2021,3572.0212593794868,3536.2721685172564,3599.6381908361454,0
dlbcl,persons,2,2030,4461.159918737299,4273.8891491797,4675.038195117971,24.9
dlbcl,persons,2,2040,5094.4438074271075,4755.864700758884,5482.305745404726,42.6
dlbcl,persons,2,2045,5259.534338298542,4841.216639708294,5734.839667871335,47.2
follicular,females,2,2021,1263.2858226932974,1255.5753790694446,1269.4749357066423,0
follicular,females,2,2030,1404.2459251410419,1314.5685250136296,1502.2292636189409,11.2
follicular,females,2,2040,1407.8459710703412,1273.2781342388655,1561.7027753322232,11.4
follicular,females,2,2045,1335.7645903812931,1180.6250114132918,1502.778100086219,5.7
follicular,males,2,2021,1543.3892798456045,1535.1101188362943,1551.0499377372942,0
follicular,males,2,2030,1861.5015728498665,1743.8509586361317,1993.255448008705,20.6
follicular,males,2,2040,2011.4483880851076,1827.6107921542311,2226.8166156250277,30.3
follicular,males,2,2045,1982.4332493486627,1765.7001172768582,2238.5029555020715,28.4
follicular,persons,2,2021,2806.299166328674,2794.34541342427,2816.9098555082105,0
follicular,persons,2,2030,3265.1964676396483,3121.223105418617,3421.105418167089,16.4
follicular,persons,2,2040,3418.6622313185535,3190.0068717979343,3665.0176653737853,21.8
follicular,persons,2,2045,3318.6798902829964,3052.025540909318,3607.9852747441605,18.3
hodgkin,females,2,2021,655.7028003933817,648.349546046869,662.6604515943241,0
hodgkin,females,2,2030,779.4427019970558,727.2254895256197,833.3642668023298,18.9
hodgkin,females,2,2040,895.7703181668381,824.9257449362734,975.2904455240638,36.6
hodgkin,females,2,2045,944.8051088338425,862.1916816764278,1036.0354194082406,44.1
hodgkin,males,2,2021,800.510561615174,791.2074572640477,808.7804367694774,0
hodgkin,males,2,2030,976.4492016467271,914.2695084155368,1036.6438857825594,22
hodgkin,males,2,2040,1173.950325399605,1086.838638882734,1267.3783208308744,46.7
hodgkin,males,2,2045,1261.571520389519,1157.9753469712573,1371.5869250947908,57.6
hodgkin,persons,2,2021,1455.9958582381507,1443.9516892478111,1467.7687999248874,0
hodgkin,persons,2,2030,1755.9494800409097,1672.9343611837382,1832.6937507873108,20.6
hodgkin,persons,2,2040,2070.3225242852427,1944.306294162306,2190.322460196292,42.2
hodgkin,persons,2,2045,2208.1522345097155,2061.936225941494,2346.5303502510633,51.7
mantle_cell,females,2,2021,141.14680871427316,135.16218814186604,146.34978554844557,0
mantle_cell,females,2,2030,226.45282368066168,178.6975361387282,286.7400822942442,60.4
mantle_cell,females,2,2040,318.7717231809016,218.13639203300835,470.6884921858443,125.8
mantle_cell,females,2,2045,352.66795625002226,224.35779439016645,566.4937658802428,149.9
mantle_cell,males,2,2021,387.06694781891133,378.4052328574469,394.4255805225163,0
mantle_cell,males,2,2030,545.6564287012262,475.25241084349625,630.301774668488,41
mantle_cell,males,2,2040,663.7218210663075,531.8556074689209,833.7341788777768,71.5
mantle_cell,males,2,2045,683.0660966951073,520.7166802297073,906.9231469432032,76.5
mantle_cell,persons,2,2021,527.964507096631,518.0874060902521,536.978517170576,0
mantle_cell,persons,2,2030,773.1000573056729,689.8573997403906,868.0981589682253,46.4
mantle_cell,persons,2,2040,987.2235791493248,818.9540187985591,1199.2009233360939,87
mantle_cell,persons,2,2045,1046.2087284619142,830.3899393881754,1338.2133761603202,98.2
nhl,females,2,2021,4701.8236113374505,4670.041843677835,4730.780002212903,0
nhl,females,2,2030,6216.45191879658,6033.999448583289,6396.454181213506,32.2
nhl,females,2,2040,7590.782827274144,7292.477036710786,7916.099643571527,61.4
nhl,females,2,2045,8048.785454148975,7686.717647240604,8463.458493001375,71.2
nhl,males,2,2021,6087.6904760629095,6051.2938625387515,6122.110729624262,0
nhl,males,2,2030,8067.013803254047,7874.18039166375,8252.157357475124,32.5
nhl,males,2,2040,9601.921267560905,9299.936569789485,9918.876779052749,57.7
nhl,males,2,2045,10011.149416700086,9650.354873386872,10410.984278619768,64.4
nhl,persons,2,2021,10788.819284892506,10744.519528816296,10834.972720261909,0
nhl,persons,2,2030,14278.678384963076,14020.317901862532,14563.059874723853,32.3
nhl,persons,2,2040,17183.86591918098,16770.991622066715,17660.833165903932,59.3
nhl,persons,2,2045,18056.73735985764,17541.44981979024,18645.364604758888,67.4
total,females,2,2021,5357.290110225858,5326.068996523655,5386.7070780182485,0
total,females,2,2030,6994.501428136802,6801.762819777934,7181.088404089935,30.6
total,females,2,2040,8487.136256281508,8171.434867026327,8809.679818280396,58.4
total,females,2,2045,8998.250824010525,8616.483314799587,9397.840344480735,68
total,males,2,2021,6887.8914442728565,6850.491471861154,6923.794465862248,0
total,males,2,2030,9039.07475554851,8834.088426388302,9250.233061599387,31.2
total,males,2,2040,10777.526605650008,10448.384855874901,11129.974014269617,56.5
total,males,2,2045,11268.840336060352,10880.271926875384,11709.46068127705,63.6
total,persons,2,2021,12244.592286443518,12198.979279215184,12292.058840624219,0
total,persons,2,2030,16028.673807764388,15755.783698455509,16330.651742776638,30.9
total,persons,2,2040,19259.8682491093,18814.95036498578,19748.648157790965,57.3
total,persons,2,2045,20268.83649473647,19723.409285982925,20881.243833938457,65.5
dlbcl,females,3,2021,2165.495395570331,2142.8818089135602,2189.43744422107,0
dlbcl,females,3,2030,2702.7830594522693,2537.411837443863,2886.3553297149583,24.8
dlbcl,females,3,2040,3152.1106256991134,2859.0166155218667,3489.9605429195526,45.6
dlbcl,females,3,2045,3316.9204639526397,2952.730127818413,3755.509136790159,53.2
dlbcl,males,3,2021,2844.954410403896,2819.987152878928,2870.7911505590123,0
dlbcl,males,3,2030,3636.456278507463,3453.091451207821,3858.2199438898056,27.8
dlbcl,males,3,2040,4125.798433405297,3805.7478663615016,4536.459984627206,45
dlbcl,males,3,2045,4186.874349058143,3806.6168890147446,4707.042423256809,47.2
dlbcl,persons,3,2021,5011.514414685673,4971.475237826555,5046.471689811506,0
dlbcl,persons,3,2030,6343.001016471005,6097.792858262667,6623.648378719518,26.6
dlbcl,persons,3,2040,7291.589939966956,6831.3131839358175,7785.967090779817,45.5
dlbcl,persons,3,2045,7529.719281903057,6932.696395358755,8177.715755800048,50.2
follicular,females,3,2021,1805.3390948349813,1796.094430236075,1813.5003967124944,0
follicular,females,3,2030,2070.692420102784,1937.858968280033,2215.171679990519,14.7
follicular,females,3,2040,2087.9107620459768,1897.9549054168644,2311.5893079696875,15.7
follicular,females,3,2045,1974.658421734703,1757.8034540456474,2224.8647543479346,9.4
follicular,males,3,2021,2247.9529649986257,2237.3555283453434,2257.96159876824,0
follicular,males,3,2030,2731.7088538439893,2564.718345493771,2916.34531140676,21.5
follicular,males,3,2040,2967.945530535332,2706.65588455056,3278.8011252915685,32
follicular,males,3,2045,2927.5684923466333,2619.6080143238787,3302.5821416339872,30.2
follicular,persons,3,2021,4053.0534570304744,4039.048499986757,4066.2647120644738,0
follicular,persons,3,2030,4802.216169789877,4590.68324895723,5020.766006150561,18.5
follicular,persons,3,2040,5055.748350686334,4717.910711691672,5413.745831958691,24.7
follicular,persons,3,2045,4904.622673262249,4519.883647456854,5324.394178475861,21
hodgkin,females,3,2021,951.7006542121884,943.0638681583514,959.8614828966231,0
hodgkin,females,3,2030,1144.287199506622,1068.3683829759675,1222.4992780250702,20.2
hodgkin,females,3,2040,1314.5046349127156,1207.984734312879,1423.5574469337407,38.1
hodgkin,females,3,2045,1386.8701285353827,1262.9447576725124,1514.3367370113583,45.7
hodgkin,males,3,2021,1151.4507100143703,1141.2881523283504,1160.2351723622262,0
hodgkin,males,3,2030,1422.1007605975144,1338.2204445152477,1507.7399331655358,23.5
hodgkin,males,3,2040,1711.0417869726482,1589.33619279912,1834.892591661276,48.6
hodgkin,males,3,2045,1838.573874450055,1695.399543123018,1985.8156305963812,59.7
hodgkin,persons,3,2021,2103.065169060931,2089.7174597742874,2115.6789294994433,0
hodgkin,persons,3,2030,2565.483296508832,2445.3718919994376,2677.6514839582624,22
hodgkin,persons,3,2040,3026.760990866342,2851.4528232936914,3179.7214480670877,43.9
hodgkin,persons,3,2045,3225.619220561345,3023.485440908639,3409.6785156868327,53.4
mantle_cell,females,3,2021,194.37348391338668,187.32867509469864,200.1499130555714,0
mantle_cell,females,3,2030,321.22870535629846,256.0393057034532,403.1892089097725,65.3
mantle_cell,females,3,2040,453.282299529154,320.81733627126096,661.168437586993,133.2
mantle_cell,females,3,2045,504.7292709653177,323.2515979068383,795.9015280102506,159.7
mantle_cell,males,3,2021,573.9011803866513,563.5565972955103,583.2342855792159,0
mantle_cell,males,3,2030,779.6774200097684,683.680580602418,895.1186136645724,35.9
mantle_cell,males,3,2040,962.8474940965317,770.2128296917656,1206.5393088585913,67.8
mantle_cell,males,3,2045,988.6324321462023,758.3331827035373,1307.8141228549684,72.3
mantle_cell,persons,3,2021,768.067489028984,756.8064632661689,779.1544588756113,0
mantle_cell,persons,3,2030,1102.1994400326653,985.9957763894769,1238.175353583405,43.5
mantle_cell,persons,3,2040,1424.3321521095947,1191.8924060770753,1728.7711489158096,85.4
mantle_cell,persons,3,2045,1510.3767172644716,1207.0998400587484,1927.5927303436572,96.6
nhl,females,3,2021,6656.796049429591,6624.61181892271,6690.759203220374,0
nhl,females,3,2030,8971.789004985067,8728.858177312695,9217.43017680592,34.8
