subtype,subset_of_nhl,duration,prev_2021,prev_2021_p025,prev_2021_p975,prev_2045,prev_2045_p025,prev_2045_p975,pct_change,pct_change_p025,pct_change_p975
hodgkin,FALSE,2,1456,1444,1468,2208,2062,2347,51.7,42.1,60.7
nhl,FALSE,2,10789,10745,10835,18057,17541,18645,67.4,62.7,72.6
dlbcl,TRUE,2,3572,3536,3600,5260,4841,5735,47.4,35.7,60.4
follicular,TRUE,2,2806,2794,2817,3319,3052,3608,18.2,8.7,28.4
mantle_cell,TRUE,2,528,518,537,1046,830,1338,98,58.6,152.6
total,FALSE,2,12245,12199,12292,20269,19723,20881,65.5,61.3,70.3
hodgkin,FALSE,3,2103,2090,2116,3226,3023,3410,53.3,44.1,61.8
nhl,FALSE,3,15372,15323,15423,26117,25404,26909,69.9,65.3,74.8
dlbcl,TRUE,3,5012,4971,5046,7530,6933,8178,50.3,38.5,62.8
follicular,TRUE,3,4053,4039,4066,4905,4520,5324,21,11.6,31.5
mantle_cell,TRUE,3,768,757,779,1510,1207,1928,96.4,58,150.6
total,FALSE,3,17475,17424,17530,29336,28635,30167,67.9,63.8,72.6
hodgkin,FALSE,5,3299,3283,3313,5188,4880,5479,57.2,48.1,66
nhl,FALSE,5,23478,23418,23539,40669,39624,41888,73.3,68.7,78.3
dlbcl,TRUE,5,7482,7437,7523,11568,10697,12529,54.6,42.7,67.4
follicular,TRUE,5,6368,6350,6387,7912,7302,8576,24.3,14.7,34.8
mantle_cell,TRUE,5,1159,1145,1173,2367,1902,3011,104.3,64.6,158.7
total,FALSE,5,26778,26713,26841,45859,44751,47120,71.3,67.1,75.8
hodgkin,FALSE,10,5991,5928,6055,9617,9029,10166,60.5,50.4,70.1
nhl,FALSE,10,38750,38497,39019,70668,68687,72903,82.4,77,88.2
dlbcl,TRUE,10,12371,12216,12524,19780,18245,21392,59.8,47.4,73.2
follicular,TRUE,10,10865,10769,10960,14866,13741,16121,36.9,26.6,48.3
mantle_cell,TRUE,10,1688,1635,1741,4043,3199,5045,139.5,89.9,198.2
total,FALSE,10,44744,44474,45028,80262,78173,82581,79.3,74.6,84.7
hodgkin,FALSE,40,13501,12132,14789,25444,23913,27076,88.3,67.5,114.8
nhl,FALSE,40,65853,61970,70968,144905,138272,152649,120.3,98.9,141.9
dlbcl,TRUE,40,22265,19660,25203,40505,36659,44686,82.4,49.7,120.3
follicular,TRUE,40,20579,18964,22592,38713,35572,41868,88.5,62.8,112.2
mantle_cell,TRUE,40,2252,1962,2702,7018,5351,8869,210.3,114.8,322.2
total,FALSE,40,79311,75453,84546,170340,163477,178160,114.9,96.9,132.2
