sex,year,mean_age,median_age,share_55plus,share_65plus,period
females,1990,39.304054054054056,29.5,24.324324324324326,17.56756756756757,Observed
females,1991,40.72142857142857,29.5,28.57142857142857,22.857142857142858,Observed
females,1992,39.394285714285715,29.5,28.57142857142857,19.428571428571427,Observed
females,1993,41.547770700636946,29.5,31.84713375796178,24.840764331210192,Observed
females,1994,40.88993710691824,39.5,29.559748427672954,21.38364779874214,Observed
females,1995,36.12662337662338,29.5,18.181818181818183,11.688311688311687,Observed
females,1996,38.9066265060241,29.5,23.49397590361446,17.46987951807229,Observed
females,1997,39.033854166666664,29.5,26.041666666666668,15.625,Observed
females,1998,40.75141242937853,39.5,25.98870056497175,18.07909604519774,Observed
females,1999,38.84254143646409,29.5,19.337016574585636,16.574585635359114,Observed
females,2000,40.138743455497384,29.5,26.701570680628272,20.418848167539267,Observed
females,2001,39.99732620320856,29.5,23.52941176470588,17.647058823529413,Observed
females,2002,40.84047619047619,29.5,27.142857142857142,19.523809523809526,Observed
females,2003,42.31216931216931,39.5,29.629629629629626,21.693121693121693,Observed
females,2004,42.13347457627118,39.5,29.66101694915254,19.915254237288135,Observed
females,2005,40.31274900398407,39.5,25.89641434262948,18.725099601593627,Observed
females,2006,38.78813559322034,29.5,26.27118644067797,15.254237288135593,Observed
females,2007,40.22222222222222,29.5,28.57142857142857,18.253968253968253,Observed
females,2008,39.13990825688074,29.5,27.06422018348624,15.137614678899084,Observed
females,2009,40.38931297709924,29.5,26.33587786259542,17.557251908396946,Observed
females,2010,40.26315789473684,29.5,24.06015037593985,18.045112781954884,Observed
females,2011,40.93950177935943,39.5,28.11387900355872,18.14946619217082,Observed
females,2012,41.08846153846154,39.5,27.307692307692307,17.692307692307693,Observed
females,2013,41.549180327868854,39.5,25.573770491803277,17.37704918032787,Observed
females,2014,42.45150501672241,39.5,30.434782608695656,20.735785953177256,Observed
females,2015,40.82332155477032,29.5,27.208480565371023,19.78798586572438,Observed
females,2016,40.52994011976048,29.5,27.245508982035926,19.16167664670659,Observed
females,2017,41.3421926910299,29.5,28.903654485049834,18.6046511627907,Observed
females,2018,42.32740213523132,39.5,30.604982206405694,21.70818505338078,Observed
females,2019,42.36391437308868,39.5,29.66360856269113,23.547400611620795,Observed
females,2020,42.60757575757576,39.5,32.72727272727273,21.515151515151516,Observed
females,2021,44.680939226519335,39.5,32.87292817679558,24.861878453038674,Observed
females,2022,44.05927167645682,39.5,30.541836855137287,22.956518193338912,Projected
females,2023,44.34682220439054,39.5,30.85415078165175,23.382404400578334,Projected
females,2024,44.67257144849645,39.5,31.24939048506276,23.85045409231203,Projected
females,2025,45.019980785821005,39.5,31.683482476748644,24.344777915479458,Projected
females,2026,45.3838385946365,39.5,32.20173669389494,24.85778434814235,Projected
females,2027,45.74259259747412,39.5,32.73379790415486,25.380558703650124,Projected
females,2028,46.11579558873539,39.5,33.26404338962156,25.901663258333794,Projected
females,2029,46.48517683431162,39.5,33.767647666623084,26.383960733320432,Projected
females,2030,46.86902535933785,39.5,34.308087357965015,26.853863541715846,Projected
females,2031,47.23407808022199,39.5,34.82662986433527,27.27317882112089,Projected
females,2032,47.67854351296738,39.5,35.48406479960969,27.77276491763601,Projected
females,2033,48.09231220209957,39.5,36.13600860774379,28.24412367736454,Projected
females,2034,48.501658777778864,39.5,36.83914078969019,28.733626821375402,Projected
females,2035,48.89632120067224,39.5,37.5515297843491,29.200060448421745,Projected
females,2036,49.28567300147505,49.5,38.308918807069354,29.712548150118206,Projected
females,2037,49.64734355461875,49.5,39.0774142717752,30.184484551898528,Projected
females,2038,49.99864755066508,49.5,39.88050201558116,30.618879506499326,Projected
females,2039,50.331699199307806,49.5,40.6800626340444,31.01793613349938,Projected
females,2040,50.643741694022445,49.5,41.4632970205707,31.39397653179334,Projected
females,2041,50.94574278364482,49.5,42.24334814620343,31.77253077423176,Projected
females,2042,51.30078028992367,49.5,43.132250320442495,32.27475219072854,Projected
females,2043,51.63997841567988,49.5,43.99822627908151,32.79417988470288,Projected
females,2044,51.970445737504576,49.5,44.84108929987349,33.35822150530887,Projected
females,2045,52.305971728745824,49.5,45.69608034949502,33.973534838776395,Projected
males,1990,39.64055299539171,39.5,24.88479262672811,11.981566820276496,Observed
males,1991,38.40462427745665,29.5,25.43352601156069,17.341040462427745,Observed
males,1992,40.231770833333336,39.5,26.5625,18.75,Observed
males,1993,39.04358974358974,29.5,24.615384615384617,13.846153846153847,Observed
males,1994,42.92211055276382,39.5,30.65326633165829,20.603015075376884,Observed
males,1995,40.64054054054054,39.5,25.945945945945947,17.83783783783784,Observed
