subtype,sex,years_since_dx,mean_rate,min_rate,max_rate,n_age_specific,n_fallback
dlbcl,females,1,0.00328,-8e-4,0.0094,6,3
dlbcl,females,2,0.00488,0.0023,0.0102,6,3
dlbcl,females,3,0.00388,-8e-4,0.0092,6,3
dlbcl,females,4,0.00437,-8e-4,0.0104,6,3
dlbcl,females,5,0.00457,8e-4,0.01,6,3
dlbcl,males,1,0.00389,0.0016,0.0063,7,2
dlbcl,males,2,0.00571,0.0038,0.0081,7,2
dlbcl,males,3,0.00554,0.0041,0.0081,7,2
dlbcl,males,4,0.00551,0.004,0.0074,7,2
dlbcl,males,5,0.00541,0.0031,0.0083,7,2
follicular,females,1,0.00269,0,0.0082,7,2
follicular,females,2,0.0029,0,0.0097,7,2
follicular,females,3,0.00359,0,0.0095,7,2
follicular,females,4,0.00551,0.0014,0.0129,7,2
follicular,females,5,0.00657,0.0019,0.0143,7,2
follicular,males,1,0.0029,-2e-4,0.0117,7,2
follicular,males,2,0.00327,0.0011,0.0071,7,2
follicular,males,3,0.00331,0.0016,0.0071,7,2
follicular,males,4,0.00369,6e-4,0.0098,7,2
follicular,males,5,0.00473,0.0033,0.0102,7,2
hodgkin,females,1,0.0024,-9e-4,0.0077,7,2
hodgkin,females,2,0.00386,4e-4,0.0106,7,2
hodgkin,females,3,0.00543,-2e-4,0.0146,7,2
hodgkin,females,4,0.0058,-1e-4,0.0124,7,2
hodgkin,females,5,0.00554,0.0013,0.0127,7,2
hodgkin,males,1,0.00166,-6e-4,0.0049,8,1
hodgkin,males,2,0.002,-4e-4,0.0059,8,1
hodgkin,males,3,0.0027,-1e-4,0.0097,8,1
hodgkin,males,4,0.00376,3e-4,0.0142,8,1
hodgkin,males,5,0.0043,8e-4,0.0173,8,1
mantle_cell,females,1,0.0061,0.0048,0.0074,2,7
mantle_cell,females,2,0.00615,0.0047,0.0076,2,7
mantle_cell,females,3,0.01385,0.0095,0.0182,2,7
mantle_cell,females,4,0.0147,0.012,0.0174,2,7
mantle_cell,females,5,0.0126,0.0074,0.0178,2,7
mantle_cell,males,1,0.00168,4e-4,0.0045,4,5
mantle_cell,males,2,0.00657,0.0021,0.0143,4,5
mantle_cell,males,3,0.00782,-6e-4,0.0149,4,5
mantle_cell,males,4,0.01015,6e-4,0.015,4,5
mantle_cell,males,5,0.01278,0.0038,0.0179,4,5
nhl,females,1,0.003,-0.0037,0.0143,9,0
nhl,females,2,0.0041,-4e-4,0.0143,9,0
nhl,females,3,0.00383,-6e-4,0.0127,9,0
nhl,females,4,0.0044,-4e-4,0.0132,9,0
nhl,females,5,0.0049,5e-4,0.0133,9,0
nhl,males,1,0.00405,3e-4,0.0102,8,1
nhl,males,2,0.00508,8e-4,0.0097,8,1
nhl,males,3,0.0052,0.0016,0.0102,8,1
nhl,males,4,0.00555,8e-4,0.0098,8,1
nhl,males,5,0.00578,8e-4,0.0101,8,1
