year,duration,base,conservative,optimistic,cons_vs_base_pct,opt_vs_base_pct
2021,2,12244.17324454209,12244.17324454209,12244.17324454209,0,0
2030,2,16054.246761558396,15461.613923562802,16054.246761558396,-3.6914396969071297,0
2040,2,19316.848662492754,18363.673811826822,19778.126283662074,-4.934422106420999,2.3879548327413054
2045,2,20350.104408511503,19317.955799017716,20849.33092456351,-5.071957316651833,2.4531889666531836
2021,3,17476.691522687048,17476.691522687048,17476.691522687048,0,0
2030,3,23117.191972362303,22158.082362710564,23117.191972362303,-4.148901868351486,0
2040,3,27960.797624313906,26322.30733849987,28761.72009927156,-5.859955455595623,2.8644478806326834
2045,3,29483.53916867885,27706.497593399177,30341.43749246902,-6.027232908210258,2.9097535369890006
2021,5,26787.32056793013,26787.32056793013,26787.32056793013,0,0
2030,5,35669.199131185196,34128.109814282056,35669.199131185196,-4.320504397183908,0
2040,5,43647.47246115293,40607.63363644962,45125.0523184794,-6.964524297274781,3.385258696575255
2045,5,46130.25180126629,42827.8928955526,47742.887480272184,-7.158770604462735,3.495831078384933
2021,10,44759.49959837969,44759.49959837969,44759.49959837969,0,0
2030,10,59828.308488967145,57722.69827255116,59828.308488967145,-3.5194212732995362,0
2040,10,76068.83395141283,69359.83120207395,78259.35530760349,-8.819647154870408,2.879656808713277
2045,10,80794.66657780262,73438.73284425352,84389.62076501045,-9.104479348851049,4.449494427637749
2021,40,79304.22675437128,79304.22675437128,79304.22675437128,0,0
2030,40,111073.3255492725,108960.99794045674,111073.3255492725,-1.9017415732985525,0
2040,40,151975.24086783477,142021.21919443458,154171.96306716133,-6.549765354250499,1.4454474207656856
2045,40,171093.11757560476,156402.13653760162,175517.46972185042,-8.586541204096832,2.585932274155077
