sex,age_group,years_since_dx,subtype,annual_rate,source
males,5–14,1,dlbcl,0.0038857142857142836,fallback (filled cell)
males,5–14,2,dlbcl,0.005714285714285713,fallback (filled cell)
males,5–14,3,dlbcl,0.005542857142857144,fallback (filled cell)
males,5–14,4,dlbcl,0.005514285714285716,fallback (filled cell)
males,5–14,5,dlbcl,0.005414285714285716,fallback (filled cell)
males,5–14,1,follicular,0.0028999999999999976,fallback (filled cell)
males,5–14,2,follicular,0.0032714285714285714,fallback (filled cell)
males,5–14,3,follicular,0.003314285714285716,fallback (filled cell)
males,5–14,4,follicular,0.003685714285714286,fallback (filled cell)
males,5–14,5,follicular,0.004728571428571427,fallback (filled cell)
males,5–14,1,mantle_cell,0.0016750000000000042,fallback (filled cell)
males,5–14,2,mantle_cell,0.0065749999999999975,fallback (filled cell)
males,5–14,3,mantle_cell,0.007824999999999997,fallback (filled cell)
males,5–14,4,mantle_cell,0.010150000000000003,fallback (filled cell)
males,5–14,5,mantle_cell,0.012775000000000003,fallback (filled cell)
males,5–14,1,hodgkin,0.0015999999999999793,age-specific
males,5–14,2,hodgkin,0.0015999999999999793,age-specific
males,5–14,3,hodgkin,0.0030000000000000027,age-specific
males,5–14,4,hodgkin,0.0030000000000000027,age-specific
males,5–14,5,hodgkin,0.0030000000000000027,age-specific
males,5–14,1,nhl,3.0000000000000024e-4,age-specific
males,5–14,2,nhl,8.000000000000007e-4,age-specific
males,5–14,3,nhl,0.0016000000000000014,age-specific
males,5–14,4,nhl,8.000000000000007e-4,age-specific
males,5–14,5,nhl,8.000000000000007e-4,age-specific
males,15–24,1,dlbcl,0.0038857142857142836,fallback (non-improving)
males,15–24,2,dlbcl,0.005714285714285713,fallback (non-improving)
males,15–24,3,dlbcl,0.005542857142857144,fallback (non-improving)
males,15–24,4,dlbcl,0.005514285714285716,fallback (non-improving)
males,15–24,5,dlbcl,0.005414285714285716,fallback (non-improving)
males,15–24,1,follicular,0.0028999999999999976,fallback (filled cell)
males,15–24,2,follicular,0.0032714285714285714,fallback (filled cell)
males,15–24,3,follicular,0.003314285714285716,fallback (filled cell)
males,15–24,4,follicular,0.003685714285714286,fallback (filled cell)
males,15–24,5,follicular,0.004728571428571427,fallback (filled cell)
males,15–24,1,mantle_cell,0.0016750000000000042,fallback (filled cell)
males,15–24,2,mantle_cell,0.0065749999999999975,fallback (filled cell)
males,15–24,3,mantle_cell,0.007824999999999997,fallback (filled cell)
males,15–24,4,mantle_cell,0.010150000000000003,fallback (filled cell)
males,15–24,5,mantle_cell,0.012775000000000003,fallback (filled cell)
males,15–24,1,hodgkin,3.0000000000000024e-4,age-specific
males,15–24,2,hodgkin,9.999999999999788e-4,age-specific
males,15–24,3,hodgkin,0.002300000000000002,age-specific
males,15–24,4,hodgkin,0.0024000000000000245,age-specific
males,15–24,5,hodgkin,0.003100000000000025,age-specific
males,15–24,1,nhl,0.00405,fallback (non-improving)
males,15–24,2,nhl,0.005075000000000002,fallback (non-improving)
males,15–24,3,nhl,0.0052000000000000015,fallback (non-improving)
males,15–24,4,nhl,0.005550000000000001,fallback (non-improving)
males,15–24,5,nhl,0.005775000000000002,fallback (non-improving)
males,25–34,1,dlbcl,0.0016000000000000014,age-specific
males,25–34,2,dlbcl,0.0047000000000000045,age-specific
males,25–34,3,dlbcl,0.004800000000000004,age-specific
males,25–34,4,dlbcl,0.006500000000000006,age-specific
males,25–34,5,dlbcl,0.003100000000000003,age-specific
males,25–34,1,follicular,0.0015999999999999793,age-specific
males,25–34,2,follicular,0.0015999999999999793,age-specific
males,25–34,3,follicular,0.0015999999999999793,age-specific
males,25–34,4,follicular,0.003300000000000003,age-specific
males,25–34,5,follicular,0.003300000000000003,age-specific
males,25–34,1,mantle_cell,0.0016750000000000042,fallback (filled cell)
males,25–34,2,mantle_cell,0.0065749999999999975,fallback (filled cell)
males,25–34,3,mantle_cell,0.007824999999999997,fallback (filled cell)
males,25–34,4,mantle_cell,0.010150000000000003,fallback (filled cell)
males,25–34,5,mantle_cell,0.012775000000000003,fallback (filled cell)
males,25–34,1,hodgkin,1.0000000000000009e-4,age-specific
males,25–34,2,hodgkin,-4.0000000000000034e-4,age-specific
males,25–34,3,hodgkin,-1.0000000000000009e-4,age-specific
males,25–34,4,hodgkin,0.0019000000000000017,age-specific
males,25–34,5,hodgkin,0.0017000000000000014,age-specific
males,25–34,1,nhl,0.0038999999999999924,age-specific
males,25–34,2,nhl,0.005500000000000005,age-specific
males,25–34,3,nhl,0.005200000000000005,age-specific
males,25–34,4,nhl,0.006700000000000006,age-specific
males,25–34,5,nhl,0.005700000000000005,age-specific
males,35–44,1,dlbcl,0.002599999999999991,age-specific
males,35–44,2,dlbcl,0.004500000000000004,age-specific
males,35–44,3,dlbcl,0.004600000000000004,age-specific
males,35–44,4,dlbcl,0.004600000000000004,age-specific
males,35–44,5,dlbcl,0.004600000000000004,age-specific
males,35–44,1,follicular,-2.0000000000000017e-4,age-specific
males,35–44,2,follicular,0.0016000000000000237,age-specific
males,35–44,3,follicular,0.0034000000000000254,age-specific
males,35–44,4,follicular,0.0029000000000000024,age-specific
males,35–44,5,follicular,0.0038999999999999924,age-specific
males,35–44,1,mantle_cell,0.0016750000000000042,fallback (filled cell)
males,35–44,2,mantle_cell,0.0065749999999999975,fallback (filled cell)
males,35–44,3,mantle_cell,0.007824999999999997,fallback (filled cell)
males,35–44,4,mantle_cell,0.010150000000000003,fallback (filled cell)
males,35–44,5,mantle_cell,0.012775000000000003,fallback (filled cell)
males,35–44,1,hodgkin,-6.000000000000005e-4,age-specific
males,35–44,2,hodgkin,-1.0000000000000009e-4,age-specific
males,35–44,3,hodgkin,3.0000000000000024e-4,age-specific
males,35–44,4,hodgkin,3.0000000000000024e-4,age-specific
males,35–44,5,hodgkin,8.000000000000007e-4,age-specific
males,35–44,1,nhl,0.002200000000000002,age-specific
males,35–44,2,nhl,0.0038000000000000035,age-specific
males,35–44,3,nhl,0.0050000000000000044,age-specific
males,35–44,4,nhl,0.005200000000000005,age-specific
males,35–44,5,nhl,0.005600000000000005,age-specific
males,45–54,1,dlbcl,0.0050000000000000044,age-specific
males,45–54,2,dlbcl,0.007299999999999996,age-specific
males,45–54,3,dlbcl,0.0064999999999999945,age-specific
males,45–54,4,dlbcl,0.007399999999999995,age-specific
males,45–54,5,dlbcl,0.008299999999999997,age-specific
males,45–54,1,follicular,7.999999999999785e-4,age-specific
males,45–54,2,follicular,0.0025000000000000022,age-specific
males,45–54,3,follicular,0.003500000000000003,age-specific
males,45–54,4,follicular,0.004199999999999993,age-specific
males,45–54,5,follicular,0.0032999999999999917,age-specific
males,45–54,1,mantle_cell,0.001000000000000023,age-specific
males,45–54,2,mantle_cell,0.0020999999999999908,age-specific
males,45–54,3,mantle_cell,-6.000000000000005e-4,age-specific
males,45–54,4,mantle_cell,6.000000000000005e-4,age-specific
males,45–54,5,mantle_cell,0.0038000000000000035,age-specific
males,45–54,1,hodgkin,8.000000000000007e-4,age-specific
males,45–54,2,hodgkin,0.0015999999999999903,age-specific
males,45–54,3,hodgkin,0.001100000000000001,age-specific
males,45–54,4,hodgkin,0.0027000000000000023,age-specific
males,45–54,5,hodgkin,0.0029000000000000024,age-specific
males,45–54,1,nhl,0.002299999999999991,age-specific
males,45–54,2,nhl,0.003500000000000003,age-specific
males,45–54,3,nhl,0.003400000000000003,age-specific
males,45–54,4,nhl,0.004400000000000004,age-specific
