subtype,sex,tier,base_mid,base_p025,base_p975,excl_mid,diff_pct,excl_within_ci
hodgkin,females,agg,514.4038328806269,471.07788412030936,559.8496340288698,494.4615394411809,-3.876777769669884,TRUE
hodgkin,males,agg,694.2279632582936,642.0459553438411,748.8945405146226,679.2492706963521,-2.1576043251902965,TRUE
nhl,females,agg,4393.34616743123,4215.581891212575,4586.1402240594525,4348.061546016679,-1.0307546842143975,TRUE
nhl,males,agg,5635.004556956132,5461.08218911718,5832.302487730117,5680.54731683239,0.8082115891111001,TRUE
dlbcl,females,subtype,1381.071934345243,1231.1347786703743,1563.742410453213,1284.3045434065439,-7.006687235634544,TRUE
dlbcl,males,subtype,1793.2955947458609,1633.958922259328,1979.744210446296,1792.0684259827806,-0.06843092497833195,TRUE
follicular,females,subtype,674.4006646400345,602.3315424748372,755.9079367205871,639.3067884485613,-5.203713168077138,TRUE
follicular,males,subtype,1009.0821318598232,904.8910425546992,1133.8805176691656,935.2392170835137,-7.3178299808173985,TRUE
mantle_cell,females,subtype,200.15855148854376,129.6071297014434,317.9264804936118,256.887882243774,28.342196890087507,TRUE
mantle_cell,males,subtype,400.9813597558365,315.72030684475106,526.5211708648707,464.6120609080365,15.868742923847053,TRUE
