tier,n_a,n_p,n_c,tot_knots,n_models,mean_mape,max_mape,mean_abs_pe21,mean_dev_df,mean_aic
agg,5,5,7,17,4,3.720920173727947,5.955639219125663,2.6396196825066935,2.231415013795658,2305.861263021668
agg,4,5,7,16,4,3.764955846871171,6.107646321573211,2.605302020193473,2.420454218197118,2357.6388643053524
agg,5,6,7,18,4,3.768480775926057,6.4756399252335655,2.5549811454709457,2.235382949748007,2306.716856035704
agg,5,4,7,16,4,3.798072277578166,6.0055581690360595,2.640502637873346,2.240692637597843,2308.6445682919352
agg,5,5,6,16,4,3.799436699174453,6.130473467562807,2.6260682157667468,2.260136401474842,2314.0095001711156
agg,4,5,6,15,4,3.8142385000102306,6.2692199320523985,2.27145995899914,2.4496192248019035,2366.1088603464705
agg,4,6,7,17,4,3.8253527066026134,6.674110253145757,2.5254683197130285,2.4253591036327715,2358.562348696524
agg,5,6,6,17,4,3.8289263935588878,6.704139369675269,2.455405927288805,2.264483912299142,2314.944543813761
agg,4,4,7,15,4,3.8428849263777147,6.156001645214498,2.610922446224488,2.428483947075392,2360.275523693953
agg,5,5,5,15,4,3.846951306951469,6.253458703126199,2.681798723899665,2.274101565503219,2318.134436707497
agg,4,5,5,14,4,3.85087927489512,6.400427993674531,2.2219825653482896,2.4596931071158825,2369.3489449722447
agg,4,6,6,16,4,3.851870241445199,6.857865902497949,2.1464698527929413,2.45484498995447,2367.096326538625
agg,5,4,6,15,4,3.8645885866160086,6.168251721319084,2.4214122536166935,2.2690419046449866,2316.727926157857
agg,5,6,5,16,4,3.889038054832888,6.864870123795311,2.511835099028842,2.2784961502784844,2319.0728171829223
agg,4,6,5,15,4,3.8933436785629603,7.012160456512116,2.0508464224175706,2.4649272111008584,2370.3338645649824
agg,4,4,6,14,4,3.895633855905201,6.308799462813461,2.223514132950918,2.4572202714887554,2368.663969503532
agg,7,5,7,19,4,3.897191610615046,6.590976473564046,1.9801272524925486,2.0810568038463804,2264.230387058608
agg,6,5,7,18,4,3.897699782873054,6.590976473564046,2.0008453753974624,2.0871492727357226,2266.014739421566
agg,5,4,5,14,4,3.916540234792193,6.302793351921541,2.468803552810494,2.2829490684490388,2320.8595104129936
agg,4,4,5,13,4,3.921392436635383,6.455948330372506,2.003380789839545,2.4671083064386057,2371.8700634910774
agg,6,5,6,17,4,3.9570772978808204,6.7395159971922345,1.9382168733337188,2.108556541415018,2271.990757636825
agg,7,5,6,18,4,3.9597435681704343,6.7395159971922345,1.9257104653767998,2.096901398222817,2268.660937640875
agg,7,4,7,18,4,3.963797918091357,6.637380754012229,1.9035803835924605,2.0909939147040846,2267.0453404457417
agg,6,4,7,17,4,3.9649472378108364,6.637380754012229,1.914526708872746,2.0968471375816518,2268.771056069653
agg,7,6,7,20,4,3.9722640838516163,7.288014792299857,1.810343453742214,2.084499399810431,2265.0883150046943
agg,6,6,7,19,4,3.972702635454353,7.288014792299857,1.8313714761849318,2.090613003846588,2266.874948409873
agg,5,7,7,19,4,3.976224065660978,7.190380858180971,2.344314506164758,2.239359826070052,2307.5664513005954
agg,6,5,5,16,4,3.9978956607095895,6.807598671241929,2.031683973843418,2.1107565240960326,2272.702182369312
agg,7,5,5,17,4,3.9989626889209235,6.807598671241929,2.0153704075364924,2.099738784551368,2269.540444412316
agg,6,6,6,18,4,4.017205077526877,7.438243380616968,1.7671573093300847,2.112422703799591,2272.9433648826857
agg,7,6,6,19,4,4.01972482639453,7.438243380616968,1.7548971950527195,2.1006786307338565,2269.598075560606
agg,4,7,7,18,4,4.020115227061064,7.389260801453804,2.185155964878178,2.430202797560554,2359.459318035177
agg,6,4,6,16,4,4.025210051186684,6.776206421059704,1.73561929476269,2.117885087967011,2274.6763798431343
agg,7,4,6,17,4,4.026012054401061,6.776206421059704,1.7229917585163637,2.106559851393765,2271.4249517699873
agg,5,7,6,18,4,4.046471124816938,7.418362244843261,2.3265436637408587,2.268446342692017,2315.7649691896595
agg,6,6,5,17,4,4.055905489609512,7.487781204229867,1.860386452451967,2.114610169282994,2273.652992283719
